기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익,부채비율,영업이익증가율,매출액증가율,당기순이익증가율,ROA,ROE
AP위성,2021,100773902803.0,10414260481.0,111188163284.0,29627992890.0,455396042.0,30083388932.0,7541152000.0,20303504099.0,81104774352.0,40201720460.0,842198469.0,1401740834.0,72.94371267275983,,,,0.012606924987326514,
BNGT,2018,31103975475.0,20975067393.0,52079042868.0,32177963828.0,1517260764.0,33695224592.0,7285521000.0,-34953095245.0,18383818276.0,49316599952.0,-4631294669.0,-5760192650.0,35.299838982440185,1.181849467415091,0.18482376118531166,1.2433496445644052,-0.1106048101651913,-0.1157960424978181
BNGT,2019,20872424234.0,20949913154.0,41822337388.0,13222030967.0,6079763272.0,19301794239.0,8533809500.0,-53211869902.0,22520543149.0,51486653179.0,-3428136777.0,-18520371267.0,53.848121734730626,-0.35096554491997156,0.04214787897468359,0.688980713887543,-0.44283443785506865,-0.9055450627658833
BNGT,2019,20872424234.0,20949913154.0,41822337388.0,14499820207.0,6079763272.0,20579583479.0,8533809500.0,-54489659142.0,21242753909.0,51486653179.0,-3428136777.0,-18520371267.0,50.792842379716305,-0.0,0.0,-0.0,-0.44283443785506865,-0.8463882985075252
BNGT,2020,26820515100.0,14921628830.0,41742143930.0,15618478755.0,3334735614.0,18953214369.0,10981282500.0,-59736430296.0,22788929561.0,54588246084.0,-1516977958.0,-6591115646.0,54.59453543933003,-1.2598461361427375,0.05681796224460649,-1.8098993041094034,-0.1579007455164031,-0.2993805880936035
BNGT,2020,26820515100.0,14921628830.0,41742143930.0,17062863555.0,3334735614.0,20397599169.0,10981282500.0,-61180815096.0,21344544761.0,51113351963.0,-261517233.0,-6757711206.0,51.134280013968606,-4.800680668719067,-0.06798407827988685,0.024652660482455072,-0.16189180932662267,-0.30623971077805506
BNGT,2020,,,,,,,,,,,,,,,,,,
BNGT,2021,50208179726.0,25208276390.0,75416456116.0,27050915150.0,3841538984.0,30892454134.0,14767172500.0,-54342310260.0,44524001982.0,72200888518.0,121670608.0,7845512334.0,59.037515517192276,,,,0.10402918325852668,
CBI,2018,11861512862.0,24056759054.0,35918271916.0,3664937306.0,10873435258.0,14538372564.0,4089385500.0,12405679496.0,21379899352.0,21818976074.0,108006575.0,124819655.0,59.523741570863834,-0.12651112212381516,-2.309086928420819,-61.85478303877703,0.00347510190055659,0.003787929165753506
CBI,2019,9984529966.0,30898997854.0,40883527820.0,7822083731.0,11080532050.0,18902615781.0,4089385500.0,13006692183.0,21980912039.0,22117496797.0,241442866.0,306965930.0,53.764714571052885,0.5526619742825617,0.013497039277993299,0.5933761932472441,0.007508303377132586,0.014158680160847453
CBI,2020,13979478973.0,30339610113.0,44319089086.0,9848685712.0,14617442309.0,24466128021.0,4089385500.0,9954287734.0,19852961065.0,16710124584.0,-2452531875.0,-3028248235.0,44.79550792769198,1.0984463722821136,-0.32359855761803097,1.101367492417609,-0.06832830496862798,-0.1447749400334845
CBI,2020,,,,,,,,,,,,,,,,,,
