회사명,거래소코드,회계년도,[제조]영업활동으로 인한 현금흐름(*),[제조]투자활동으로 인한 현금흐름(*),[제조]재무활동으로 인한 현금흐름(*),패턴
(주)구영테크,53270,2017년 12월,3339453.0,-21760013.0,23844022.0,성장기업
(주)구영테크,53270,2020년 12월,8014471.0,-9316325.0,5459067.0,성장기업
(주)구영테크,53270,2021년 12월,8874095.0,-8015307.0,918725.0,성장기업
(주)구영테크,53270,2019년 12월,9760503.0,-5659531.0,-3377680.0,우량기업
(주)국보디자인,66620,2018년 12월,198822.0,-6824210.0,-4401892.0,우량기업
(주)국보디자인,66620,2019년 12월,5796396.0,-9008695.0,-2891314.0,우량기업
(주)국보디자인,66620,2020년 12월,30754297.0,-6250210.0,-5298568.0,우량기업
(주)국보디자인,66620,2021년 12월,15506474.0,-19971037.0,-2495328.0,우량기업
(주)국보디자인,66620,2017년 12월,19976906.0,-3705288.0,-1825983.0,우량기업
(주)국순당,43650,2018년 12월,15817595.0,-23419217.0,-2997001.0,우량기업
(주)국순당,43650,2019년 12월,-3808205.0,17963082.0,-7721992.0,정리기업
(주)국순당,43650,2017년 12월,18084724.0,-3908307.0,-881446.0,우량기업
(주)국순당,43650,2021년 12월,9260002.0,-8850731.0,-2882111.0,우량기업
(주)국순당,43650,2020년 12월,12385565.0,-2606887.0,-5589256.0,우량기업
(주)국영지앤엠,6050,2017년 12월,239246.0,-3251231.0,155044.0,성장기업
(주)국영지앤엠,6050,2018년 12월,5051582.0,-329312.0,-2408429.0,우량기업
(주)국영지앤엠,6050,2020년 12월,5497526.0,-1615345.0,3453467.0,성장기업
(주)국영지앤엠,6050,2021년 12월,-1777762.0,-1323899.0,-149400.0,쇠퇴기업
(주)국영지앤엠,6050,2019년 12월,-2377260.0,-396408.0,2640900.0,스타트업
(주)국전약품,307750,2019년 12월,,,,판단불가
(주)국전약품,307750,2020년 12월,9459523.0,-5133454.0,-5597319.0,우량기업
(주)국전약품,307750,2021년 12월,3042065.0,-32578612.0,38856196.0,성장기업
(주)국전약품,307750,2018년 12월,,,,판단불가
(주)그래디언트,35080,2018년 12월,5564172.0,2772568.0,-7422679.0,성숙기업
(주)그래디언트,35080,2019년 12월,5968487.0,1879505.0,-8752477.0,성숙기업
(주)그래디언트,35080,2020년 12월,-8607119.0,39398548.0,-17278117.0,정리기업
(주)그래디언트,35080,2021년 12월,22962521.0,-26961956.0,8915221.0,성장기업
(주)그래디언트,35080,2017년 12월,7851585.0,-1423754.0,-6422406.0,우량기업
(주)그리티,204020,2019년 12월,-1030107.0,4865664.0,-3628206.0,정리기업
(주)그리티,204020,2020년 12월,2620054.0,6557613.0,-9101161.0,성숙기업
(주)그리티,204020,2021년 12월,-3860166.0,6761358.0,-2630043.0,정리기업
(주)그리티,204020,2018년 12월,6716028.0,-24763196.0,17576095.0,성장기업
(주)그린플러스,186230,2020년 12월,5821354.0,-9740044.0,9706402.0,성장기업
(주)그린플러스,186230,2021년 12월,752488.0,-5041351.0,15717650.0,성장기업
(주)그린플러스,186230,2019년 12월,-574078.0,-1466296.0,5966552.0,스타트업
(주)극동자동화,272420,2017년 12월,-2129178.0,882393.0,-943619.0,정리기업
(주)글로벌스탠다드테크놀로지,83450,2018년 12월,5219548.0,-8950470.0,-2579280.0,우량기업
(주)글로벌스탠다드테크놀로지,83450,2019년 12월,15029673.0,-5336020.0,-215490.0,우량기업
(주)글로벌스탠다드테크놀로지,83450,2020년 12월,19063786.0,-5041933.0,-3776685.0,우량기업
(주)글로벌스탠다드테크놀로지,83450,2017년 12월,15891168.0,-11691693.0,442280.0,성장기업
(주)글로벌스탠다드테크놀로지,83450,2021년 12월,21090996.0,-14476330.0,-2459905.0,우량기업
(주)금빛,45890,2018년 12월,-1758462.0,7835392.0,-5865181.0,정리기업
(주)금빛,45890,2019년 12월,-13594750.0,-6322938.0,19411863.0,스타트업
(주)금빛,45890,2020년 12월,-2183292.0,-26338762.0,27887389.0,스타트업
(주)금빛,45890,2017년 12월,-509347.0,600635.0,1202148.0,부실기업
(주)금오하이텍,165270,1905년 7월,,,,판단불가
(주)금화피에스시,36190,2019년 12월,15347622.0,-4321502.0,-7955061.0,우량기업
(주)금화피에스시,36190,2020년 12월,18041111.0,-1007537.0,-10081611.0,우량기업
(주)금화피에스시,36190,2021년 12월,12170987.0,-8276230.0,-7851689.0,우량기업
(주)금화피에스시,36190,2017년 12월,45454658.0,-37436939.0,-5380000.0,우량기업
(주)금화피에스시,36190,2018년 12월,21110484.0,-15380846.0,-5500000.0,우량기업
(주)기가레인,49080,2019년 12월,8306714.0,-1695891.0,-6232733.0,우량기업
(주)기가레인,49080,2018년 12월,-9320776.0,2263291.0,5119320.0,부실기업
(주)기가레인,49080,2021년 12월,7413265.0,-3535196.0,-12154932.0,우량기업
(주)기가레인,49080,2020년 12월,-3158046.0,20099744.0,9942993.0,부실기업
(주)기가레인,49080,2017년 12월,-3893464.0,-10625525.0,14347861.0,스타트업
(주)기산텔레콤,35460,2019년 12월,5501406.0,-1044708.0,3040710.0,성장기업
(주)기산텔레콤,35460,2020년 12월,-2584106.0,-753814.0,869346.0,스타트업
(주)기산텔레콤,35460,2021년 12월,-479429.0,-1194372.0,-764379.0,쇠퇴기업
(주)기산텔레콤,35460,2017년 12월,2647045.0,39118.0,-685385.0,성숙기업
(주)기산텔레콤,35460,2018년 12월,-2276209.0,-3968651.0,-529528.0,쇠퇴기업
(주)까스텔바작,308100,2020년 12월,664730.0,-4246849.0,8505513.0,성장기업
(주)까스텔바작,308100,2019년 12월,1951782.0,-6860983.0,6074128.0,성장기업
(주)까스텔바작,308100,2021년 12월,5413198.0,-25184420.0,16578786.0,성장기업
(주)나노,187790,2019년 12월,1909303.0,-2763790.0,4542064.0,성장기업
(주)나노,187790,2017년 12월,-460060.0,-3282598.0,5653695.0,스타트업
(주)나노,187790,2021년 12월,43313.0,-11346180.0,3788239.0,성장기업
(주)나노,187790,2018년 12월,5871665.0,-15201451.0,9033800.0,성장기업
(주)나노,187790,2020년 12월,8335739.0,-2249142.0,-1165507.0,우량기업
(주)나노브릭,286750,2021년 12월,-2886912.0,-8973650.0,11388251.0,스타트업
(주)나노브릭,286750,2020년 12월,1966016.0,2420541.0,-1551529.0,성숙기업
(주)나노브릭,286750,2019년 12월,-1388477.0,-4977169.0,5448260.0,스타트업
(주)나노신소재,121600,2019년 12월,12314436.0,-7681809.0,-917085.0,우량기업
(주)나노신소재,121600,2018년 12월,3478436.0,-1616867.0,-1571600.0,우량기업
(주)나노신소재,121600,2021년 12월,10782188.0,-13403643.0,6602963.0,성장기업
(주)나노신소재,121600,2020년 12월,9481708.0,-10003453.0,2862466.0,성장기업
(주)나노신소재,121600,2017년 12월,9525417.0,-11412526.0,-3319906.0,우량기업
(주)나노엔텍,39860,2019년 12월,4092097.0,-1015021.0,-7216.0,우량기업
(주)나노엔텍,39860,2020년 12월,4221066.0,-9743115.0,1202589.0,성장기업
(주)나노엔텍,39860,2021년 12월,10601063.0,-2936300.0,-46912.0,우량기업
(주)나노엔텍,39860,2018년 12월,2118808.0,-2316932.0,-2999848.0,우량기업
(주)나노엔텍,39860,2017년 12월,2638359.0,-764564.0,0.0,판단불가
(주)나래나노텍,137080,1905년 7월,,,,판단불가
(주)나무가,190510,2020년 12월,-44270038.0,17203166.0,22936108.0,부실기업
(주)나무가,190510,2021년 12월,12134051.0,-2739089.0,-9156512.0,우량기업
(주)나무가,190510,2018년 12월,4364540.0,3758869.0,-2169300.0,성숙기업
(주)나무가,190510,2017년 12월,-27355164.0,19205940.0,-1813049.0,정리기업
(주)나무가,190510,2019년 12월,-25125682.0,-7548559.0,30165353.0,스타트업
(주)나스미디어,89600,2019년 12월,27690940.0,-947235.0,-18545379.0,우량기업
(주)나스미디어,89600,2021년 12월,45402227.0,-13518461.0,-8641422.0,우량기업
(주)나스미디어,89600,2020년 12월,48028784.0,-23444656.0,-11263570.0,우량기업
(주)나스미디어,89600,2018년 12월,19622107.0,-15739997.0,-6040737.0,우량기업
(주)나스미디어,89600,2017년 12월,13087893.0,-16569464.0,-3414329.0,우량기업
(주)나이벡,138610,2019년 12월,-867616.0,-9695948.0,14280495.0,스타트업
(주)나이벡,138610,2021년 12월,817972.0,-6174791.0,-942618.0,우량기업
(주)나이벡,138610,2020년 12월,-501656.0,-4384424.0,21868814.0,스타트업
(주)나이벡,138610,2017년 12월,563218.0,-4093449.0,4239524.0,성장기업
(주)나이벡,138610,2018년 12월,-2307211.0,-2351276.0,240466.0,스타트업
(주)나이스디앤비,130580,2019년 12월,9517946.0,-6925983.0,-3314522.0,우량기업
(주)나이스디앤비,130580,2021년 12월,15740475.0,-5743247.0,-4352642.0,우량기업
(주)나이스디앤비,130580,2020년 12월,14682608.0,-4229666.0,-3907364.0,우량기업
(주)나이스디앤비,130580,2017년 12월,6488038.0,-4254073.0,-1293600.0,우량기업
(주)나이스디앤비,130580,2018년 12월,9615351.0,-6263631.0,-1478400.0,우량기업
(주)나인테크,267320,2019년 12월,,,,판단불가
(주)나인테크,267320,2021년 12월,-8555595.0,-4493879.0,15189049.0,스타트업
(주)나인테크,267320,2020년 12월,-6113845.0,-12296172.0,13865923.0,스타트업
(주)나인테크,267320,2017년 12월,,,,판단불가
(주)나인테크,267320,2018년 12월,,,,판단불가
(주)내츄럴엔도텍,168330,2019년 12월,-4205698.0,-896581.0,-129066.0,쇠퇴기업
(주)내츄럴엔도텍,168330,2021년 12월,-1699256.0,-1348043.0,-115174.0,쇠퇴기업
(주)내츄럴엔도텍,168330,2020년 12월,-1296462.0,456660.0,3896513.0,부실기업
(주)내츄럴엔도텍,168330,2017년 12월,-7436599.0,-2471974.0,-675000.0,쇠퇴기업
(주)내츄럴엔도텍,168330,2018년 12월,-5418819.0,7977227.0,-725000.0,정리기업
(주)네오리진,94860,2019년 12월,1710274.0,-805680.0,1786498.0,성장기업
(주)네오리진,94860,2021년 12월,-3593994.0,-10771812.0,36330870.0,스타트업
(주)네오리진,94860,2017년 12월,170199.0,-2072357.0,2252352.0,성장기업
(주)네오리진,94860,2018년 12월,-47289.0,-1188446.0,-313500.0,쇠퇴기업
(주)네오리진,94860,2020년 12월,-857000.0,-2607612.0,-100000.0,쇠퇴기업
(주)네오셈,253590,2021년 12월,-5875926.0,-16770872.0,16577503.0,스타트업
(주)네오셈,253590,2018년 12월,,,,판단불가
(주)네오셈,253590,2020년 12월,11391997.0,-38305.0,-7266156.0,우량기업
(주)네오셈,253590,2019년 12월,-4325170.0,9052284.0,2016919.0,부실기업
(주)네오오토,212560,2017년 12월,15020726.0,-20169053.0,749823.0,성장기업
(주)네오오토,212560,2020년 12월,15079648.0,-3829412.0,-3213779.0,우량기업
(주)네오오토,212560,2019년 12월,14000633.0,-10109594.0,-2930197.0,우량기업
(주)네오오토,212560,2021년 12월,17051293.0,-13742650.0,-8119102.0,우량기업
(주)네오오토,212560,2018년 12월,21477384.0,-13786952.0,-4970047.0,우량기업
(주)네오위즈,95660,2020년 12월,50694465.0,18978997.0,1824407.0,전환기업
(주)네오위즈,95660,2021년 12월,26976719.0,-73907996.0,-8905914.0,우량기업
(주)네오위즈,95660,2019년 12월,21406568.0,-31712425.0,904608.0,성장기업
(주)네오위즈,95660,2017년 12월,12186865.0,-13655350.0,93782.0,성장기업
(주)네오위즈,95660,2018년 12월,26107078.0,-21376212.0,785063.0,성장기업
(주)네오위즈홀딩스,42420,2019년 12월,-2099062.0,8318867.0,-5022355.0,정리기업
(주)네오위즈홀딩스,42420,2021년 12월,3016168.0,-8647827.0,-9041019.0,우량기업
(주)네오위즈홀딩스,42420,2020년 12월,-3558493.0,54721365.0,-11025418.0,정리기업
(주)네오위즈홀딩스,42420,2017년 12월,1661337.0,3342156.0,0.0,판단불가
(주)네오위즈홀딩스,42420,2018년 12월,3002116.0,1244546.0,-2970100.0,성숙기업
(주)네오이뮨텍,950220,2021년 12월,-34348389.0,-5592238.0,115314341.0,스타트업
(주)네오크레마,311390,2020년 12월,4112512.0,-3122210.0,557247.0,성장기업
(주)네오크레마,311390,2021년 12월,2000526.0,-644060.0,224056.0,성장기업
(주)네오크레마,311390,2019년 12월,-987503.0,-14673364.0,13225682.0,스타트업
(주)네오티스,85910,2018년 12월,3468514.0,-2504211.0,2816286.0,성장기업
(주)네오티스,85910,2019년 12월,2848803.0,-4449199.0,2318428.0,성장기업
(주)네오티스,85910,2017년 12월,7445746.0,-3607283.0,-3489717.0,우량기업
(주)네오티스,85910,2021년 12월,2319804.0,-15112476.0,4669157.0,성장기업
(주)네오티스,85910,2020년 12월,8293039.0,-8597630.0,11901926.0,성장기업
(주)네오팜,92730,2020년 12월,17566478.0,-4739315.0,-6585863.0,우량기업
(주)네오팜,92730,2021년 12월,21677613.0,-16688995.0,-9457311.0,우량기업
(주)네오팜,92730,2017년 12월,11104584.0,-11531492.0,-2490348.0,우량기업
(주)네오팜,92730,2018년 12월,16534453.0,-9417490.0,-3154675.0,우량기업
(주)네오팜,92730,2019년 12월,18867362.0,-53320285.0,31039366.0,성장기업
(주)네오펙트,290660,2021년 12월,-3953232.0,-5461976.0,-898098.0,쇠퇴기업
(주)네오펙트,290660,2020년 12월,-6156423.0,-804692.0,17664249.0,스타트업
(주)네오펙트,290660,2019년 12월,-8282225.0,-26003048.0,18438063.0,스타트업
(주)네오펙트,290660,2018년 12월,-5121646.0,-13886574.0,31597097.0,스타트업
(주)네온테크,306620,2021년 12월,-7873071.0,-606401.0,6868048.0,스타트업
(주)네온테크,306620,2020년 12월,1719609.0,-5001280.0,1185007.0,성장기업
(주)네온테크,306620,2019년 12월,,,,판단불가
(주)네온테크,306620,2018년 12월,,,,판단불가
(주)네이블커뮤니케이션즈,153460,2018년 12월,-914367.0,3570679.0,0.0,판단불가
(주)네이블커뮤니케이션즈,153460,2017년 12월,-6917389.0,664660.0,0.0,판단불가
(주)네이블커뮤니케이션즈,153460,2020년 12월,-2035298.0,-3770807.0,-14455.0,쇠퇴기업
(주)네이블커뮤니케이션즈,153460,2019년 12월,-1958720.0,-2842836.0,-14455.0,쇠퇴기업
(주)네이블커뮤니케이션즈,153460,2021년 12월,3022062.0,-2312651.0,21159.0,성장기업
(주)네이처셀,7390,2020년 12월,-5412080.0,15506060.0,10277646.0,부실기업
(주)네이처셀,7390,2021년 12월,-10149935.0,4823128.0,-3709519.0,정리기업
(주)네이처셀,7390,2018년 12월,3699808.0,1550557.0,398348.0,전환기업
(주)네이처셀,7390,2017년 12월,3479316.0,751016.0,1565417.0,전환기업
(주)네이처셀,7390,2019년 12월,357517.0,-30724774.0,36624493.0,성장기업
(주)네패스,33640,2017년 12월,60293558.0,-63310069.0,3661473.0,성장기업
(주)네패스,33640,2021년 12월,43538537.0,-77118022.0,27623298.0,성장기업
(주)네패스,33640,2018년 12월,44020966.0,-15806824.0,-36883564.0,우량기업
(주)네패스,33640,2020년 12월,22295816.0,-33320368.0,45439843.0,성장기업
(주)네패스,33640,2019년 12월,68965067.0,-159062864.0,90832268.0,성장기업
(주)네패스아크,330860,2020년 12월,39050544.0,-127986994.0,128360067.0,성장기업
(주)네패스아크,330860,2021년 12월,69485674.0,-94278420.0,41239989.0,성장기업
(주)넥스지,81970,2017년 12월,2415142.0,-10349579.0,0.0,판단불가
(주)넥스턴바이오사이언스,89140,2020년 12월,235942.0,16627.0,-1094559.0,성숙기업
(주)넥스턴바이오사이언스,89140,2021년 12월,5748101.0,-75516331.0,37527393.0,성장기업
(주)넥스턴바이오사이언스,89140,2017년 12월,5083543.0,13098148.0,-4624590.0,성숙기업
(주)넥스턴바이오사이언스,89140,2019년 12월,2735157.0,-1653139.0,-788090.0,우량기업
(주)넥스턴바이오사이언스,89140,2018년 12월,9626670.0,5753906.0,-1740579.0,성숙기업
(주)넥스트아이,137940,2017년 12월,361856.0,-25092717.0,30401373.0,성장기업
(주)넥스트아이,137940,2020년 12월,-5800851.0,12412452.0,-15863395.0,정리기업
(주)넥스트아이,137940,2018년 12월,-835112.0,14320499.0,-482788.0,정리기업
(주)넥스트아이,137940,2021년 12월,-2531165.0,-3564487.0,-1402149.0,쇠퇴기업
(주)넥스트아이,137940,2019년 12월,-3800223.0,-1153709.0,9849611.0,스타트업
