기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용,금융비용,유동비율,당좌비율,부채비율,차입금의존도,매출총이익률,영업이익률,당기순이익률,ROA,ROE,매출채권회전율,총자산회전율,매출액증가율,영업이익증가율,유형자산증가율,총자산증가율,[제조]영업활동으로 인한 현금흐름(*),[제조]투자활동으로 인한 현금흐름(*),[제조]재무활동으로 인한 현금흐름(*),패턴
(주)가비아,79940,2020,260025259,86821629,173203629,169044955,83163471,28545232,23751739,123738031,50679127,120677745,3060285,21434822,5617099,8600000,27643852,0,105175837,0,0,244.1597524,238.1211993,50.12691102,36243852,49.19606799,16.886178,14.0505459,9.134396824,15.41506078,7.256078027,0.735071723,12.26778818,16.84567146,18.84075617,23.1166496,16302314,-20145173,5969932,성장기업
(주)가비아,79940,2021,302957884,98368307,204589577,200442778,98530260,33094801,24998709,155727189,58783390,146824826,8902363,27501608,10050846,11100000,26124828,0,117983472,0,0,264.9169927,249.7726416,48.08080081,37224828,49.15630335,16.5108473,12.47174343,8.251545948,13.23407018,8.191965699,0.712073818,15.66423261,13.7470807,10.85544846,14.17115291,13962996,-15858537,-4339454,우량기업
(주)강스템바이오텍,217730,2017,47198979,22716816,24482163,9132939,3258892,-11737865,-11531949,25246012,6368374,23520787,1725225,440984,1239629,1350000,4260000,14000000,13229478,0,0,396.4279108,369.3374007,92.78925232,5610029.662,35.68283988,-128.522319,-126.267667,-24.43262385,-10.06841699,0.653693043,0.052164844,-2094.723714,381.9490683,-791.8225798,-541.8738083,-10267751,5871865,5753187,부실기업
(주)강스템바이오텍,217730,2018,73194018,25612644,47581374,9165454,1177260,-11693969,-14294032,48992790,20056267,47074214,1918575,2038576,1787264,1405000,4438889,0,15140205,0,0,244.2767141,234.7107465,53.82913911,5843889,12.84453558,-127.5874496,-155.955526,-19.52896205,-39.67063676,7.392806788,0.152258923,0.354756022,-0.375372981,12.62021881,35.51525071,-11298071,-25397225,35740905,스타트업
(주)강스템바이오텍,217730,2019,113643697,44924460,68719236,6004584,-424362,-23153708,-26394472,55408095,20598774,55141701,266393,1209654,616805,240000,7655556,2100000,31219524,0,0,268.9873436,267.6940919,65.37392238,7895557.848,-7.067300582,-385.6005345,-439.5720336,-23.22563653,-45.39008351,3.697142136,0.064275931,-52.64094898,49.49418469,51.5040492,35.59342055,-11097344,-33356662,47081570,스타트업
(주)강스템바이오텍,217730,2020,82505287,33866416,48638871,9137898,1045689,-18725365,-19745799,44750599,12206140,44395740,354859,1308178,385404,0,7300000,0,31882092,0,0,366.6236746,363.7164575,69.6282938,7300000,11.44343043,-204.9198295,-216.0868834,-23.93276809,-33.65050699,7.258544653,0.093173034,34.28922056,-23.64890084,2.078182323,-37.74110864,-16124997,31237930,-13029409,정리기업
(주)강스템바이오텍,217730,2021,103147836,37144831,66003004,12404665,2688873,-22735544,-21826784,65355114,22473220,64591345,763769,1679749,850367,0,5630000,0,31786048,0,0,290.8133058,287.4147318,56.27748549,5630000,21.67630484,-183.2822087,-175.9562552,-21.16068048,-38.07820484,8.303191477,0.13363271,26.33498768,17.63836836,-0.302157727,20.01258563,-16455808,-23752408,39851753,스타트업
(주)강원에너지,114190,2017,93179394,44876384,48303010,82034829,865112,-5588512,-6451819,68068421,33693980,67707039,361382,47160876,15372002,0,7200000,5000000,15392067,0,0,202.0195329,200.9469911,92.90597832,7200005.366,1.054566713,-6.812365026,-7.864731454,-6.924083451,-11.28867813,3.359286618,0.835694865,84.8787824,-306.8264325,-106.5092882,-10.69811851,-4605588,484043,4943754,부실기업
(주)강원에너지,114190,2018,93845576,43641869,50203707,85905365,5893132,341329,1708887,70556730,43608244,70012992,543737,43399528,11107883,7200000,0,0,14771745,0,0,161.7967694,160.5498997,86.92957474,7200000,6.860027892,0.397331412,1.98926691,1.820956376,3.469584719,1.897194827,0.91865129,4.505581229,1737.280161,-4.199381996,0.709870437,-10047711,-2019808,17827827,스타트업
(주)강원에너지,114190,2019,56602063,35477506,21124556,42549622,-6139234,-17175963,-35647438,30544232,30840573,30425447,118784,20063616,7904034,7200000,3320000,0,10387938,0,0,99.03911967,98.65396146,167.9443866,10520000,-14.4284102,-40.36689915,-83.77850689,-62.97904371,-99.95319247,1.34092386,0.565640276,-101.8945433,101.9872481,-42.20093535,-65.79886143,7013798,-14691822,-8116985,우량기업
(주)강원에너지,114190,2020,32968636,15872298,17096338,38345166,-1859327,-9226308,-12874763,21492517,12436158,21272741,219776,15450041,3769187,1300000,2656000,0,6699242,0,0,172.8228043,171.0555704,92.84033809,3956000,-4.848921504,-24.0612024,-33.57597409,-39.05154887,-67.37028705,2.159460289,0.856198878,-10.9647615,-86.16290503,-55.06139351,-71.68457621,-4228563,15906301,-6197538,정리기업
(주)강원에너지,114190,2021,41538176,12944572,28593603,44163151,4959372,1916422,5795694,31351053,11615853,30664755,686297,16774077,2283424,0,0,0,6222385,0,,269.8988443,263.9905567,45.27086705,0,11.22966067,4.339414097,13.12337066,13.95269258,25.36967163,2.740999831,1.185479551,13.17384486,581.4340474,-7.66357273,20.63051589,-4492533,-757120,3127993,스타트업
