기업,거래소코드,연도,자산,부채,자본,매출액,매출총이익,영업이익,당기순이익,유동자산,유동부채,당좌자산,재고자산,매출채권,매입채무,단기차입금,장기차입금,사채,유형자산,이자비용,유동비율,당좌비율,부채비율,차입금의존도,이자보상배율,매출총이익률,영업이익률,당기순이익률,ROA,ROE,매출채권회전율,총자산회전율,매출액증가율,영업이익증가율,유형자산증가율,총자산증가율
(주)강스템바이오텍,217730,2017,44508729,19840601,24668128,5394323,2991763,-11132505,-10855842,24316617,4000962,22591392,1725225,173608,1239629,0,4260000,14000000,12480829,0,607.7692565,564.6490019,80.43010398,4260031.455,#NAME?,55.4613248,-206.3744607,-201.2456799,-24.39036621,-24.55735659,3.051649498,0.070975477,-1232.387011,168.3373508,-345.778145,-141.5178672
(주)강스템바이오텍,217730,2018,66184838,18239878,47944961,1001039,724422,-10525345,-13500909,44071609,13802351,43569638,501972,1024620,230000,0,4000000,0,14220013,0,319.305088,315.6682365,38.0433681,4000000,#NAME?,72.36701068,-1051.442052,-1348.689611,-20.39879436,-37.18588256,1.670865645,0.01808667,-438.8724116,-5.768552005,12.23053734,32.75086811
(주)강스템바이오텍,217730,2019,98625925,27780716,70845209,282069,140630,-19411148,-25001590,50136013,15296868,50101695,34319,1024806,270948,0,4000000,0,22738650,0,327.7534525,327.529106,39.21326,4000000,#NAME?,49.85659537,-6881.701995,-8863.643293,-25.34991687,-42.09370186,0.275266343,0.003422944,-254.8915336,45.7768031,37.4632487,32.89306235
(주)강스템바이오텍,217730,2020,68097299,16666440,51430858,295379,244579,-16744948,-19492205,39796797,4647522,39769052,27745,979110,257539,0,4000000,0,22550495,0,856.3014226,855.7044378,32.40552588,4000000,#NAME?,82.80175639,-5668.970374,-6599.049018,-28.62405013,-31.88228977,0.294801778,0.003543346,4.506075246,-15.92241433,-0.834371928,-44.83089116
(주)강스템바이오텍,217730,2021,90179843,20041371,70138473,3756744,1753921,-21748206,-20437353,62531976,6831662,61768208,763769,818511,850367,0,5630000,0,22311035,0,915.3259631,904.146136,28.57400531,5630000,#NAME?,46.68726429,-578.9110464,-544.0177185,-22.66288377,-33.62254745,4.179684149,0.047470455,92.13736683,23.0053826,-1.073280554,24.48722826
(주)강원에너지,114190,2017,87781416,40664397,47117020,83113029,865112,-5421114,-6291307,66557788,36681993,66196407,361382,47160876,15372002,0,0,2813494,9242859,0,181.4453975,180.4602247,86.30511225,3.205113483,#NAME?,1.040886141,-6.522580232,-7.569579735,-7.167014713,-10.73093778,3.464530674,0.934057552,95.47995778,-301.1759576,-141.3867289,-2.732271942
(주)강원에너지,114190,2018,89619750,40333396,49286354,85905365,5893132,532248,1977524,70097814,40299772,69554077,543737,43399528,11107883,0,0,0,8853092,0,173.9409692,172.5917382,81.83481375,0,inf,6.860027892,0.619574808,2.301979626,2.206571654,4.102603297,1.897194827,0.968487039,3.250479176,1118.531587,-4.402608716,2.051259906
(주)강원에너지,114190,2019,55106032,32201998,22904034,42549622,-6139234,-17150531,-33460765,30346449,27565065,30227665,118784,20063616,7904034,0,3320000,0,9089689,0,110.0902501,109.6593278,140.5953117,3320000,#NAME?,-14.4284102,-40.30712893,-78.63939426,-60.72069388,-92.70144108,1.34092386,0.588003346,-101.8945433,103.1033908,2.602916337,-62.63147018
(주)강원에너지,114190,2020,32998279,15786908,17211371,38345166,-1859327,-8978062,-14039206,21886931,12350768,21667156,219776,15450041,3769187,1300000,2656000,0,6334471,0,177.2110933,175.4316493,91.72370987,3956000,#NAME?,-4.848921504,-23.41380397,-36.6127141,-42.54526728,-69.99408831,2.159460289,0.870449256,-10.9647615,-91.02709471,-43.49562892,-66.99668489
(주)강원에너지,114190,2021,41538176,12944572,28593603,44163151,4959372,1916422,5795694,31351053,11615853,30664755,686297,16774077,2283424,0,0,0,6222385,0,269.8988443,263.9905567,45.27086705,0,inf,11.22966067,4.339414097,13.12337066,13.95269258,25.30595913,2.740999831,1.185008088,13.17384486,568.4804286,-1.801335019,20.55915262
