기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익,부채비율,영업이익증가율,매출액증가율,당기순이익증가율,ROA,ROE
CMG제약,2018,81370414653,33009464894,1.1438E+11,8495060173,1902973300,10398033473,54443622000,2308863709,1.03982E+11,49864782072,2567820061,6065025685,90.90921103,2.380818877,-48.70499468,8.010307758,0.053025285,0.031085381
CMG제약,2019,1.50584E+11,41659100349,1.92243E+11,9306386532,2778496521,12084883053,69446122000,5054709407,1.80158E+11,58622680863,2603773813,3051176651,93.71375155,0.013808324,0.149394375,-0.987766157,0.015871444,0.021476563
CMG제약,2020,1.45981E+11,49374463000,1.95356E+11,13648964162,575614047,14224578209,69446122000,5638075578,1.81131E+11,64459891270,1822364992,214996493,92.71862211,-0.428788319,0.090555697,-13.1917508,0.001100539,0.001190163
CNH,2018,99395322120,74482187413,3.21953E+11,19132307729,54780480533,2.24887E+11,93000000000,15906654289,97066316206,62609641686,1736368448,733731760,30.14920833,-0.049526668,-0.029552151,0.706982163,0.002279002,0.005274902
CNH,2019,1.50622E+11,1.26538E+11,4.65346E+11,46564959602,67031954904,3.55548E+11,93000000000,30439786874,1.09798E+11,1.67823E+11,21073623158,15879708958,23.59497205,0.917604655,0.626930104,0.953794382,0.034124523,0.153527589
CNH,2020,,,5.57811E+11,,,4.23205E+11,93000000000,53458619423,1.34606E+11,3.0879E+11,55610775660,29442437096,24.13115216,0.621051444,0.456513964,0.46065236,0.052782074,0.240931997
CNT85,2018,37932944377,38539710328,76472654705,37869585884,7393046416,45262632300,23081934000,-60591269594,31210022405,15491233649,-5210713631,-20677632347,40.81200336,11.67239146,-18.93318135,2.423878547,-0.270392501,-0.249404075
CNT85,2019,7250958690,20941839622,28192798312,31242299102,85306520,31327605622,23081934000,-94402358113,-3134807310,7220574941,-3504601855,-31395315498,-11.11917758,-0.486820428,-1.145429384,0.341378418,-1.113593449,-2.23651469
CNT85,2020,37932744152,21932481500,59865225652,36982463288,297660556,37280123844,35351956000,-71578664317,22585101808,896922665,-4763804179,-7131802782,37.72657927,0.264327054,-7.050387422,-3.402156994,-0.119130976,-0.733336226
CS,2018,26756996941,5752184812,32509181753,9197370371,758725149,9956095520,9417575000,-15199321735,22553086233,58746314097,2284327536,4097741008,69.37451211,3.085429565,0.984732273,2.74042302,0.126048728,0.181564267
CS,2019,21834552039,5354381386,27188933425,4737880007,691173875,5429053882,9417575000,-15764679432,21759879543,32157823692,-917978018,-538357258,80.03211896,3.488433809,-0.826812494,8.611564527,-0.019800602,-0.024297957
CS,2020,22170538890,6171373443,28341912333,5598324161,698302093,6296626254,9417575000,-15568746162,22045286079,42958085137,364597144,178546528,77.78334016,3.517787188,0.25141394,4.015221097,0.006299735,0.008151848
CSA 코스믹,2018,27238636420,10228426913,37467063333,11174970879,2668487228,13843458107,9873820500,-27215516681,23623605226,63526514658,20216304,-464796447,63.05165958,-17.03480715,0.323777082,1.384139184,-0.012405468,-0.020355057
CSA 코스믹,2019,23908844678,9296660728,33205505406,13725854189,2967932573,16693786762,9873820500,-34852081277,16511718644,64289801297,-5727834998,-7636564596,49.72584649,1.003529484,0.011872593,0.9391354,-0.22997887,-0.380540823
CSA 코스믹,2020,26571068078,8315708415,34886776493,22155640797,1129733356,23285374153,18536022500,-49379280814,11601402340,58308778550,-787279044,-14527199537,33.25444053,-6.275482615,-0.102574996,0.474326447,-0.416409912,-1.033481807
DMS,2018,1.5994E+11,1.57375E+11,3.17315E+11,1.62426E+11,3408825749,1.65835E+11,11516243500,89209130608,1.51479E+11,2.98718E+11,30343576982,15184128518,47.73791669,1.025945492,0.804803207,1.956735813,0.047851955,0.186215984
DMS,2019,1.34517E+11,1.67997E+11,3.02515E+11,1.35346E+11,1162986682,1.36509E+11,11521243500,1.05892E+11,1.66006E+11,1.96207E+11,22710231178,17236232679,54.87525613,-0.336119247,-0.522466262,0.119057581,0.056976527,0.108579789
DMS,2020,2.25495E+11,1.6099E+11,3.86485E+11,1.40816E+11,2074342486,1.4289E+11,12286530500,1.44482E+11,2.43595E+11,2.26903E+11,33814617713,40504829420,63.02822268,0.328390125,0.135282392,0.574464751,0.10480306,0.197777287
DSC인베스트먼트,2018,,,,,,,,,,,,,,,,,,
EDGC,2018,41706536227,33395535388,75102071615,21682330294,1916295652,23598625946,3617294000,-20662964675,51503445669,21496787319,-6815179179,-7253213818,68.57792943,,,,-0.096578079,
EDGC,2019,46020514677,50379570315,96400084992,43572186730,5016358944,48588545674,3617294000,-30457134719,47811539318,56721869566,-8553545648,-8605224718,49.59698876,0.203233436,0.621014126,0.157115118,-0.089265738,-0.173291568
EDGC,2020,95408209874,64896719546,1.60305E+11,83444864591,6847015669,90291880260,4291453100,-40865946005,70013049160,92541208930,-5108643510,-9433328400,43.67491968,-0.674328152,0.387063664,0.087784889,-0.058846153,-0.160124954
EG,2018,26918996005,46410319627,73329315632,23494051054,15621585091,39115636145,7500000000,-2561234246,34213679487,1.12563E+11,-8973681274,-17149381853,46.6575737,0.430708162,0.177874029,0.44993187,-0.23386802,-0.329078387
EG,2019,21783768287,55415252252,77199020539,21657148695,21974251161,43631399856,7500000000,-3305466277,33567620683,67218334679,1499350253,-649697322,43.48192561,6.985046693,-0.674592155,-25.39595589,-0.008415875,-0.0191704
EG,2020,27729427426,1.05777E+11,1.33506E+11,39764630620,45889954005,85654584625,7500000000,-7448066884,47851818054,45057857733,-6513050601,-6763709561,35.84233946,1.230207063,-0.491822693,0.90394364,-0.050662061,-0.166144834
ES큐브,2018,45061626446,67369269901,1.12431E+11,37613190109,4069098980,41682289089,41621527000,21719604679,70748607258,33763507893,-1211129371,-6121462048,62.92630367,-4.377667124,-0.334513519,-0.10491734,-0.05444644,-0.103228332
ES큐브,2019,3.59031E+11,1.04928E+11,4.63959E+11,2.30135E+11,1.59785E+11,3.8992E+11,42815711000,6015932355,74038512218,43708238532,-2617071032,-13767748431,15.957997,0.537219527,0.227525313,0.555376678,-0.029674514,-0.190179188
ES큐브,2020,3.22209E+11,3.92681E+11,7.1489E+11,5.23911E+11,1.2148E+11,6.45392E+11,69092015500,-18561613380,69497819081,80672424996,10315988227,-25292139576,9.721473772,1.253690773,0.458201008,0.455651097,-0.035379077,-0.352414463
EV수성,2018,27230299379,26785645418,54015944797,38641691183,481202361,39122893544,6097145000,-11821849423,14893051253,23538547834,-3971752916,-13506406744,27.57158337,3.597338869,-2.427247321,-0.872603132,-0.250044812,-0.320091657
EV수성,2019,13819279007,33474482681,47293761688,21121337621,9903594930,31024932551,6585607000,-19187981857,16268829137,22705956421,-1086313491,,34.3995245,-2.656175633,-0.036668414,,,
EV수성,2020,16964120159,35414547890,52378668049,10657400915,22192443988,32849844903,8958357000,-22351174431,19528823146,20651323502,-737302916,,37.28392468,-0.473361175,-0.099491586,,,
FSN,2018,1.20332E+11,69299205251,1.89632E+11,1.33123E+11,12915055566,1.46038E+11,8784296900,-4662896655,43593771357,1.25415E+11,9728974514,2962308223,22.98866122,1.075784238,0.835335916,,0.015621383,0.093858887
FSN,2019,98127493601,98862755754,1.9699E+11,89222133550,40468118248,1.2969E+11,9629766600,-1623727200,67299997557,1.45425E+11,7736948508,8639898383,34.16412628,-0.257469208,0.137598905,0.657136219,0.043859523,0.155822973
FSN,2020,1.1582E+11,97068317435,2.12889E+11,99894057955,36960822048,1.36855E+11,10087621600,-8234859057,76033776937,1.63469E+11,4349239254,833347132,35.7152786,-0.778919957,0.11037849,-9.367706387,0.003914474,0.011628064
