기업,연도,유동자산,재고자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,단기차익금,장기차익금,사채,이익잉여금,자본총계,매출액,영업이익,당기순이익,매출채권,이자의 수취,이자의 지급,매출총이익,유형자산,무형자산,영업비용,영업수익,순이자손익,유동비율,부채비율,영업이익률,당기순이익률,ROA,ROE,매출액증가율,영업이익증가율,총자산증가율
001540,2018,148767155377.0,,64156427853.0,212923583230.0,52068000752.0,13636797740.0,65704798492.0,6521210000.0,,,,129902605531.0,147218784738.0,185745621902.0,15366114683.0,13178048403.0,,,,,,,,,,285.71704929785625,44.63071652773964,8.272665878018493,7.094675108925465,0.06189097611026523,0.08916826181083494,0.0115519742378213,0.3229796867578149,0.022818165828779154
001540,2019,152138900973.0,,65818060180.0,217956961153.0,56282378236.0,13316261286.0,69598639522.0,6521210000.0,,,,130170214464.0,148358321631.0,155851757368.0,2417840589.0,2141921030.0,,,,,,,,,,270.3135612625678,46.912528233574406,1.5513720408624916,1.3743322925403125,0.009827265982555282,0.014645521212846764,-0.19180960830242078,-5.355305123467757,0.02309344880004407
001540,2020,111432212000.0,,90269582343.0,201701794343.0,44678365189.0,12879900032.0,57558265221.0,6521210000.0,,,,126214827954.0,144143529122.0,143364217858.0,-61209863.0,-1388355521.0,,,,,,,,,,249.40977927150092,39.93121687223567,-0.04269535586671104,-0.9684114639924617,-0.006883208577902185,-0.010059194915941542,-0.08710360016310842,40.50083320722349,-0.08059009520935445
001810,2015,101265951226.0,,194567625085.0,295833576311.0,70350233325.0,43675180048.0,114025413373.0,11068750000.0,,,,116289041206.0,181808162938.0,211382336664.0,9589677920.0,1844928625.0,,,,,,,,,,143.94543761948498,62.71743332662396,4.536650541072949,0.8727922370981176,0.006236373328565274,0.010081514625889873,0.3217776843583544,1.0063828903859577,0.31819167770544876
001810,2016,90858600747.0,,192983268590.0,283841869337.0,60857605444.0,38790155652.0,99647761096.0,11068750000.0,,,,118299730390.0,184194108241.0,207075019697.0,9864517037.0,2579301286.0,,,,,,,,,,149.29703540604524,54.09932057415248,4.7637407213260845,1.2455878501299342,0.009087106465387759,0.013612437628607098,-0.02080075604147052,0.02786138601303325,-0.04224784385055778
001810,2017,97908458717.0,,207202345735.0,305110804452.0,67976989555.0,42365483585.0,110342473140.0,11068750000.0,,,,129027460934.0,194768331312.0,203041163071.0,7540603137.0,10584826887.0,,,,,,,,,,144.0317662755314,56.65319017558458,3.7138297589258693,5.213143348326206,0.03469174717037988,0.09475922944784206,-0.019867186362547726,-0.3081867402087627,0.06970888872060912
001810,2018,113157948022.0,,208734055008.0,321892003030.0,71857185072.0,44586295864.0,116443480936.0,,,,,139146812497.0,205448522094.0,140315888503.0,1923537964.0,11351058978.0,,,,,,,,,,157.47617709852835,56.67769217766529,1.3708625477284235,8.089646225457434,0.03526356315519306,0.05529989505384383,-0.4470290231363137,-2.9201738037544653,0.05213300864897849
001810,2019,81877641760.0,,216863630248.0,298741272008.0,44951870803.0,48710598900.0,93662469703.0,,,,,138940624429.0,205078802305.0,137893618119.0,1179046904.0,1413219584.0,,,,,,,,,,182.14512610348498,45.671453436568285,0.8550409511936233,1.0248622113754489,0.004730580326250186,0.006874045135932508,-0.01756622545003946,-0.6314346422303145,-0.077494250681841
001810,2020,83789006483.0,,212762747554.0,296551754037.0,36408708918.0,54046315098.0,90455024016.0,,,,,140119092623.0,206096730021.0,125406771304.0,6606513425.0,1797956392.0,,,,,,,,,,230.1345171884845,43.8895968930624,5.2680675503438925,1.4336996107184303,0.006062875594307474,0.009270088749254508,-0.09957075431541484,0.8215326560090961,-0.007383257529904272
001840,2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001840,2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001840,2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001840,2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001840,2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
001840,2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
002230,2015,109799708390.0,,27722429621.0,137522138011.0,6997148000.0,3114596631.0,10111744631.0,9378191000.0,,,,103127960497.0,127410393380.0,56079485435.0,8878883627.0,9293055073.0,,,,,,,,,,1569.2066023185448,7.936357751319267,15.83267670544381,16.57122029725343,0.06757497525421453,0.07194655801405563,,,
