기업,연도,자산총계,부채총계,자본총계,매출액,영업이익,당기순이익,부채비율,영업이익증가율,매출액증가율,당기순이익증가율,ROA,ROE
CSA 코스믹,2019,33205505406,16693786762,16511718644,64289801297,-5727834998,-7636564596,49.72584649,1.003529484,0.011872593,0.9391354,-0.22997887,-0.380540823
CSA 코스믹,2019,33218114678,16706396034,16511718644,64289801297,-5727834998,-7636564596,49.70697104,0,0,0,-0.229891572,-0.462493624
CSA 코스믹,2020,34886776493,23285374153,11601402340,58308778550,-787279044,-14527199537,33.25444053,-6.275482615,-0.102574996,0.474326447,-0.416409912,-1.033481807
CSA 코스믹,2021,46177689659,31926357144,14251332515,60297016695,1999698281,-393070577,30.86194355,1.393698915,0.032974072,-35.95824716,-0.008512132,-0.030408433
DMS,2017,2.98505E+11,1.63302E+11,1.35203E+11,2.68732E+11,16623308126,3857602202,45.29330597,0.879705155,0.775623646,1.101895052,0.012923065,0.051622531
DMS,2018,3.17315E+11,1.65835E+11,1.51479E+11,2.98718E+11,30343576982,15184128518,47.73791669,0.452163859,0.100383373,0.745945103,0.047851955,0.105930004
DMS,2019,3.02515E+11,1.36509E+11,1.66006E+11,1.96207E+11,22710231178,17236232679,54.87525613,-0.336119247,-0.522466262,0.119057581,0.056976527,0.108579789
DMS,2019,3.02515E+11,1.36509E+11,1.66006E+11,1.96207E+11,22710231179,17236232679,54.87525613,4.40E-11,0,0,0.056976527,0.103829178
DMS,2020,3.86485E+11,1.4289E+11,2.43595E+11,2.26903E+11,33814617713,40504829420,63.02822268,0.328390125,0.135282392,0.574464751,0.10480306,0.197777287
DMS,2021,4.20478E+11,1.35689E+11,2.84789E+11,2.25394E+11,32010203266,35211009511,67.72980104,-0.056369978,-0.006694378,-0.150345587,0.083740409,0.133278174
DSC인베스트먼트,2017,,,,,,,,,,,,
DSC인베스트먼트,2018,,,,,,,,,,,,
DSC인베스트먼트,2019,,,,,,,,,,,,
EDGC,2017,13745691813,2986443161,10759248652,3234750458,-5379045760,-6286476464,78.273606,,,,-0.457341584,
EDGC,2018,75102071615,23598625946,51503445669,21496787319,-6815179179,-7253213818,68.57792943,0.210725702,0.849524005,0.133284,-0.096578079,-0.23298747
EDGC,2019,96400084992,48588545674,47811539318,56721869566,-8553545648,-8605224718,49.59698876,0.203233436,0.621014126,0.157115118,-0.089265738,-0.173291568
EDGC,2020,1.60305E+11,90291880260,70013049160,92541208930,-5108643510,-9433328400,43.67491968,-0.674328152,0.387063664,0.087784889,-0.058846153,-0.160124954
EDGC,2021,1.86938E+11,1.27943E+11,58995411814,89282114475,-15602204704,-20666748769,31.55877317,0.672569127,-0.03650333,0.543550439,-0.110553892,-0.320393695
EG,2017,97419947856,45706070957,51713876899,1.63965E+11,1322488155,-1001606253,53.08345779,12.79761395,0.455479315,-19.63360598,-0.010281326,-0.018094349
EG,2018,73329315632,39115636145,34213679487,1.12563E+11,-8973681274,-17149381853,46.6575737,1.147374095,-0.456643529,0.941595198,-0.23386802,-0.399159072
EG,2019,77199020539,43631399856,33567620683,67218334679,1499350253,-649697322,43.48192561,6.985046693,-0.674592155,-25.39595589,-0.008415875,-0.0191704
EG,2020,1.33506E+11,85654584625,47851818054,45057857733,-6513050601,-6763709561,35.84233946,1.230207063,-0.491822693,0.90394364,-0.050662061,-0.166144834
EG,2020,1.21125E+11,83362536977,37762193410,45057857733,-6513050601,-6763709561,31.17628687,0,0,0,-0.055840864,-0.158004734
EG,2021,1.45607E+11,86951641886,58655113788,95693333644,7577496321,4245281212,40.28323653,1.859525406,0.529143191,2.593230041,0.029155798,0.088060564
ES큐브,2017,1.05892E+11,33075251301,72816880033,35745794127,2248519539,1737924865,68.76514725,-2.36999354,-1.677051552,-1.442730004,0.016412219,0.026437948
ES큐브,2018,1.12431E+11,41682289089,70748607258,33763507893,-1211129371,-6121462048,62.92630367,2.856547775,-0.058710909,1.283906827,-0.05444644,-0.085277627
ES큐브,2019,4.63959E+11,3.8992E+11,74038512218,43708238532,-2617071032,-13767748431,15.957997,0.537219527,0.227525313,0.555376678,-0.029674514,-0.190179188
ES큐브,2020,7.1489E+11,6.45392E+11,69497819081,80672424996,10315988227,-25292139576,9.721473772,1.253690773,0.458201008,0.455651097,-0.035379077,-0.352414463
ES큐브,2021,1.08273E+12,9.66877E+11,1.15855E+11,1.25787E+11,283187246,5375801078,10.70026448,-35.42815265,0.358659979,5.704813145,0.004965034,0.058006083
EV수성,2017,65868837108,48793842643,17074994465,26355801126,-2022545535,,25.92272039,1.140015263,-3.772660571,,,
EV수성,2018,54015944797,39122893544,14893051253,23744667834,-3186518247,,27.57158337,0.365280416,-0.109967143,,,
EV수성,2019,47293761688,31024932551,16268829137,22705956421,-1086313491,,34.3995245,-1.933332112,-0.045746208,,,
EV수성,2020,52378668049,32849844903,19528823146,20651323502,-737302916,,37.28392468,-0.473361175,-0.099491586,,,
EV수성,2021,93273933590,55553033771,37720899819,35944237762,-479149911,,40.44098749,-0.538772937,0.425462194,,,
FSN,2017,37993332769,14159258935,23834073834,34193102539,204445601,399795908,62.73225352,3.343654785,-0.051213113,,0.010522791,0.012989882
FSN,2018,1.89632E+11,1.46038E+11,43593771357,1.11456E+11,9862709940,2962308223,22.98866122,0.979270849,0.693213667,0.865039058,0.015621383,0.087866021
FSN,2019,1.9699E+11,1.2969E+11,67299997557,1.45425E+11,7736948508,8639898383,34.16412628,-0.274754502,0.233587127,0.657136219,0.043859523,0.155822973
FSN,2020,2.12889E+11,1.36855E+11,76033776937,1.63469E+11,4349239254,833347132,35.7152786,-0.778919957,0.11037849,-9.367706387,0.003914474,0.011628064
FSN,2021,2.36951E+11,99865710348,1.37085E+11,2.11831E+11,10174967331,4839514321,57.85388146,0.572554966,0.228305051,0.827803561,0.020424102,0.045416031
GH신소재,2017,60704295652,13900641333,46803654319,54476126566,2352669470,2298163149,77.1010582,-3.32486053,-2.888504055,-1.105818433,0.037858328,0.024995101
GH신소재,2018,79726813171,39913168531,39813644640,65263334882,671067581,446484672,49.93758443,-2.505860716,0.165287421,-4.147238625,0.005600182,0.010309365
GH신소재,2019,80228019299,37333648503,42894370796,67174274043,1624332881,2243506533,53.46557371,0.586865729,0.028447485,0.800988022,0.027964127,0.054251248
GH신소재,2020,85233540537,41085498219,44148042318,59517977230,851926063,51891560,51.79656041,-0.906659453,-0.128638391,-42.234517,0.000608816,0.001192328
GH신소재,2021,1.09709E+11,35545264596,74164052773,66701916607,2204127351,2382341182,67.60050518,0.613486007,0.107702143,0.97821825,0.021715031,0.040272149
GST,2017,1.02401E+11,24125110315,78275558939,1.62835E+11,22260787111,15756344037,76.44047594,0.9009861,0.59037235,0.848801145,0.153869542,0.206722437
GST,2018,1.05027E+11,19219582265,85807825286,1.2985E+11,10405764340,10303467732,81.70041258,-1.139274577,-0.254025694,-0.52922729,0.098102657,0.125588191
GST,2019,1.36752E+11,33440861119,1.03311E+11,1.68232E+11,21908351650,17968415861,75.54626747,0.525032074,0.22814692,0.426578959,0.131394594,0.1900228
GST,2020,1.41836E+11,28098590994,1.13737E+11,1.6688E+11,18150174131,15490968607,80.18931517,-0.207060136,-0.008097146,-0.159928492,0.109217824,0.142742563
GST,2021,2.06243E+11,54879817695,1.51364E+11,3.04487E+11,46406987615,38970170642,73.39075521,0.608891353,0.451929881,0.60249164,0.188952306,0.294002939
HB솔루션,2017,,,,,,,,,,,,
HB솔루션,2018,39657087039,21321617840,18335469199,49642982726,12015084518,10422277708,46.23503784,,,,0.262809966,
HB솔루션,2019,53601903070,23319440409,30282462661,46856958331,10924275723,7377713883,56.49512597,-0.099851818,-0.059458072,-0.412670357,0.137639029,0.303497644
HB솔루션,2020,66013819514,20617191870,45396627644,21082359622,-1774164563,-2275306568,68.76836998,7.157419639,-1.222567074,4.242514212,-0.034467125,-0.060130389
HB솔루션,2021,1.59048E+11,55183358050,1.03865E+11,46773127251,667762433,6084585788,65.30401964,3.656879865,0.549263416,1.373946008,0.03825622,0.081529182
HB테크놀러지,2017,2.00162E+11,44064225899,1.56097E+11,2.85224E+11,47978270234,37781093548,77.98567861,0.986081982,0.836012559,0.83895157,0.188752921,0.290665913
HB테크놀러지,2018,2.46035E+11,71483035783,1.74552E+11,2.73911E+11,10167094463,8114958890,70.94603935,-3.718975555,-0.041301277,-3.655734436,0.032982888,0.049084916
HB테크놀러지,2019,2.86111E+11,1.0081E+11,1.85301E+11,2.80566E+11,10102232601,5755801285,64.76555909,-0.006420547,0.023721462,-0.409874749,0.020117385,0.031989678
HB테크놀러지,2020,2.81426E+11,78150421044,2.03276E+11,2.74248E+11,4913572071,826876756,72.23058433,-1.055985433,-0.023038713,-5.960893801,0.002938165,0.004255921
HB테크놀러지,2021,2.78954E+11,98450624931,1.80504E+11,1.58891E+11,-22453000633,9331405462,64.70727128,1.218838103,-0.72601221,0.911387758,0.033451363,0.048628981
HK이노엔,2017,,,,,,,,,,,,
HK이노엔,2018,,,,,,,,,,,,
