기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익,부채비율,영업이익증가율,매출액증가율,당기순이익증가율,ROA,ROE
3S,2017,16712868726,36994034971,53706903697,15356228050,9171008866,24527236916,20987069000,-30929575224,29179666781,26486287918,-2421224869,-8803810083,54.33131455,,,,-0.163923248,
3S,2018,12801669723,36719329336,49520999059,12539083622,6229576743,18768660365,21833121000,-32361814998,30752338694,31546170185,333310617,-1432239774,62.09959265,8.264169653,0.160396087,-5.146882835,-0.028921868,-0.04779549
3S,2019,18079335574,35249885638,53329221212,17221417861,1736120970,18957538831,22386071500,-31672784858,34371682381,35751939484,1662145638,1411081065,64.45187385,0.799469668,0.117637514,2.01499468,0.02645981,0.043335195
3S,2020,16100334467,33558040154,49658374621,13519968653,2773383669,16293352322,22401255500,-32758655855,33365022299,22592015218,467181073,-1080358319,67.18911473,-2.557818872,-0.582503338,2.3061232,-0.021755813,-0.031898756
3S,2020,19312931531,30345443090,49658374621,13519968653,2773383669,16293352322,22401255500,-32758655855,33365022299,22592015218,467181073,-1080358319,67.18911473,0,0,0,-0.021755813,-0.032379967
3S,2021,18070667851,36544084498,54614752349,15766999142,2301428769,18068427911,22838270000,-32063320972,36546324438,23477908383,-1408265950,695334883,66.91657998,1.331742078,0.037733053,2.553723746,0.012731631,0.019891904
APS홀딩스,2017,83530217742,1.48253E+11,2.31783E+11,21478412654,27028376094,48506788748,6664270000,7.44178E+11,1.83276E+11,80465235100,-296684124,6.70121E+11,79.07232416,-3.746684558,0.708222957,0.998962375,2.891158273,6.096930331
APS홀딩스,2018,54504524024,2.28699E+11,2.83204E+11,20784119818,26830154621,47614274439,10895916500,7.50735E+11,2.3559E+11,28416309699,-3614600651,1166724289,83.1872803,0.917920636,-1.831656748,-573.3612774,0.004119733,0.005570874
APS홀딩스,2019,56460963192,2.41247E+11,2.97708E+11,43557314081,39365187460,82922501541,10895916500,7.34297E+11,2.14786E+11,23151385938,-10579887493,-4601038289,72.14638716,0.658351693,-0.227412898,1.253578479,-0.015454857,-0.020432017
APS홀딩스,2019,56460963192,2.34138E+11,2.90599E+11,43557314081,39257347470,82814661551,1.3525E+11,7.27291E+11,2.07785E+11,23151385938,-10579887493,-4601038289,71.50212462,0,0,0,-0.015832923,-0.021776429
APS홀딩스,2020,37547778577,2.37669E+11,2.75217E+11,30222692519,78446599401,1.08669E+11,10895916500,6.86404E+11,1.66547E+11,25345952537,-10877059034,-46308607986,60.51498227,0.027320946,0.086584499,0.900643995,-0.168262457,-0.247419986
APS홀딩스,2020,37547778577,2.338E+11,2.71348E+11,30222692519,77532199754,1.07755E+11,1.3525E+11,6.84204E+11,1.63593E+11,25345952537,-10877059034,-42302965786,60.28899203,0,0,-0.094689394,-0.155899503,-0.256272889
APS홀딩스,2021,1.00484E+11,2.36609E+11,3.37093E+11,68972709797,80850593185,1.49823E+11,1.3525E+11,7.06072E+11,1.87269E+11,39415521257,-3963571695,23585855545,55.55425629,-1.744256915,0.356955034,2.793573513,0.069968481,0.134445181
AP시스템,2017,3.24465E+11,1.43565E+11,4.68031E+11,3.42537E+11,36003942573,3.78541E+11,7640710500,19285170655,89489340129,9.62423E+11,26159865374,19088064733,19.12039878,1.151513459,0.959045519,-0.235633673,0.040783786,0.137940167
AP시스템,2018,2.84425E+11,1.36562E+11,4.20987E+11,2.91103E+11,23468789384,3.14572E+11,7640710500,38343620325,1.06415E+11,7.1424E+11,45752842099,25227011908,25.27753677,0.428235183,-0.347478363,0.24334817,0.059923502,0.257544016
