기업,연도,유동자산,비유동자산,자산총계,유동부채,비유동부채,부채총계,자본금,이익잉여금,자본총계,매출액,영업이익,당기순이익
CJ ENM,2018,1.81E+12,4.95E+12,6.75E+12,2.02E+12,1.31E+12,3.33E+12,1.11E+11,1.07E+12,3.43E+12,2.36E+12,1.82E+11,1.84E+11
CJ 바이오사이언스,2020,41089229502,32273195978,73362425480,3003731982,35874624754,38878356736,1946174000,-8762586953,34484068744,5311546768,-8513222577,-8762586953
CJ 바이오사이언스,2019,31641955125,2099460132,33741415257,2305012700,581755588,2886768288,1904474000,-4222377099,30854646969,4783223061,-4518862465,-4345714426
CJ 바이오사이언스,2018,11467499135,1366946551,12834445686,1882245165,174958006,2057203171,1609515500,-3134950478,10777242515,3924040385,-3406324304,-3134950478
CJ프레시웨이,2017,5.07E+11,3.96E+11,9.03E+11,5.13E+11,1.54E+11,6.67E+11,11871586000,34100562017,2.35E+11,2.50E+12,43879878108,
CJ프레시웨이,2020,4.31E+11,6.92E+11,1.12E+12,4.42E+11,3.94E+11,8.37E+11,11871586000,-5952920215,2.86E+11,2.48E+12,-3545694413,-42517696613
CJ프레시웨이,2019,4.96E+11,6.86E+11,1.18E+12,5.80E+11,3.12E+11,8.93E+11,11871586000,37127997357,2.89E+11,3.06E+12,58075352319,9587493127
CJ프레시웨이,2018,4.68E+11,4.49E+11,9.17E+11,5.67E+11,97215936820,6.64E+11,11871586000,38510071268,2.53E+11,2.83E+12,50659237257,16703748519
CMG제약,2017,81227330221,31531224731,1.13E+11,10884321148,739812795,11624133943,54443622000,-207310965,1.01E+11,41535587785,2326702779,-186914233
CMG제약,2020,1.46E+11,49374463000,1.95E+11,13648964162,575614047,14224578209,69446122000,5638075578,1.81E+11,64459891270,1822364992,214996493
CMG제약,2019,1.51E+11,41659100349,1.92E+11,9306386532,2778496521,12084883053,69446122000,5054709407,1.80E+11,58622680863,2603773813,3051176651
CMG제약,2018,81370414653,33009464894,1.14E+11,8495060173,1902973300,10398033473,54443622000,2308863709,1.04E+11,49864782072,2567820061,6065025685
CNH,2017,97476340223,72664838228,3.24E+11,13592930873,48520641009,2.22E+11,93000000000,18230702155,1.02E+11,55660625814,1271223003,2887540375
CNH,2020,,,5.58E+11,,,4.23E+11,93000000000,53458619423,1.35E+11,3.09E+11,55610775660,29442437096
CNH,2019,,,4.99E+11,,,3.91E+11,93000000000,28472733792,1.08E+11,1.68E+11,21696165686,14739646914
CNH,2018,,,3.75E+11,,,2.78E+11,93000000000,15906654289,97066316206,62609641686,1736368448,733731760
CNT85,2017,46845140193,21907732090,68752872283,26669283049,9311133926,35980416975,18007059000,-41627128940,32772455308,17293995476,237447039,-21521310561
CNT85,2020,37932744152,21932481500,59865225652,36982463288,297660556,37280123844,35351956000,-71578664317,22585101808,896922665,-4763804179,-7131802782
CNT85,2019,7250958690,20941839622,28192798312,31242299102,85306520,31327605622,23081934000,-94402358113,-3134807310,7220574941,-3504601855,-31395315498
CNT85,2018,37932944377,38539710328,76472654705,37869585884,7393046416,45262632300,23081934000,-60591269594,31210022405,15491233649,-5210713631,-20677632347
CS,2017,45850533551,4319701154,50170234705,30377182638,892066762,31269249400,9417575000,-29278808968,18900985305,43330916249,1863533813,1000562988
