거래소코드
329050
272420
45890
165270
81970
31390
204690
311840
192080
17680
220110
189700
141070
149940
28040
233190
213090
225850
65940
242420
156170
58370
271780
199870
85980
68270
87220
245030
39670
246830
86830
90730
51170
122800
99830
32040
225330
189540
122050
226350
271400
30270
36500
158300
112240
194860
251540
80440
102210
73070
43580
65160
95300
262760
183350
97520
225860
242850
194610
52270
278380
123100
26260
39790
91270
252370
36260
270020
87730
62580
108790
247300
230400
120780
65620
250300
36420
35480
221670
155960
138290
28150
111820
220250
35720
16170
260490
205290
68150
33110
225650
235090
52290
228180
284610
123260
194510
38160
3670
176560
354230
195440
60910
54340
144740
24660
226610
23890
61460
77280
66110
8800
86250
134780
284420
167380
41140
86080
33430
33600
47440
110660
135270
210610
144630
130960
232360
23430
900080
252940
232290
224880
36490
57500
66270
39230
251960
900180
900130
241510
94190
221610
229480
114570
900040
900090
327970
43290
237720
256090
178920
99660
198940
26180
53660
