회사,amount,년도,2017,2018,2019,2020,2021
회사명,거래소코드,항목,amount,amount,amount,amount,amount
(주)와이오엠,66430,자산(*)(천원),14174391,38799729,37987572,28288038,39089640
마이크로로봇(주),182690,자산(*)(천원),14201398,16569955,23229645,57289640,55343947
(주)공구우먼,366030,자산(*)(천원),14306991,15543873,18034814,23980267,31550791
(주)에이스토리,241840,자산(*)(천원),14340373,19456505,40251454,55174265,97505089
(주)핑거,163730,자산(*)(천원),14348001,20357192,30734976,35536716,66882070
(주)에이치앤비디자인,227100,자산(*)(천원),14482747,19682909,24426676,22172597,53614069
(주)원바이오젠,278380,자산(*)(천원),14728194,12541421,17513758,,
(주)자비스,230400,자산(*)(천원),14803347,17222904,,,
(주)이루다,164060,자산(*)(천원),14978744,18869180,24068171,45320882,69009903
씨제이바이오사이언스(주),311690,자산(*)(천원),14980403,12829636,33741367,73346709,115095489
지엘팜텍(주),204840,자산(*)(천원),15021408,23958495,20942951,27708095,25584378
(주)레인보우로보틱스,277810,자산(*)(천원),15099557,12419886,9183332,11404217,63832273
(주)에스와이제이,251540,자산(*)(천원),15142683,,,,
(주)툴젠,199800,자산(*)(천원),15160520,38739118,29865281,30061627,87673408
(주)링크제니시스,219420,자산(*)(천원),15185045,35310621,36987003,41519390,45755565
(주)아이톡시,52770,자산(*)(천원),15293908,8251476,8573109,11429964,12346103
(주)석경에이티,357550,자산(*)(천원),15300760,15709252,19334786,26935983,26412703
(주)스페이스솔루션,245030,자산(*)(천원),15442645,,,,
(주)아스타,246720,자산(*)(천원),15460302,32927844,16905036,8302130,11049074
(주)센코,347000,자산(*)(천원),15514703,14428381,19601857,38869764,68476312
프리시젼바이오(주),335810,자산(*)(천원),15525730,12800484,20823518,41753902,53858208
(주)마인즈랩,377480,자산(*)(천원),15633084,18107872,27160578,22137357,34726786
(주)큐리언트,115180,자산(*)(천원),15678094,43196042,20513537,61507368,54120586
오토앤(주),353590,자산(*)(천원),15715907,16785506,27939479,35697279,40517346
바이옵트로(주),222160,자산(*)(천원),15831690,14776533,15151177,14893459,17651800
(주)지어소프트,51160,자산(*)(천원),15843595,17228984,18839197,42791435,58048993
(주)오로스테크놀로지,322310,자산(*)(천원),15861730,18886553,26839943,28751579,74884135
피씨엘(주),241820,자산(*)(천원),15873793,10620981,15745442,43559876,77217717
(주)제노코,361390,자산(*)(천원),15998069,21310446,19721034,28671898,63136727
(주)이지트로닉스,377330,자산(*)(천원),16000603,27019462,32915881,34289823,36298821
(주)네오펙트,290660,자산(*)(천원),16008394,41288317,43811943,52791266,49116231
나무기술(주),167380,자산(*)(천원),16055719,,,,
(주)지오엘리먼트,311320,자산(*)(천원),16074776,19181898,21055442,24633104,46563730
(주)마크로밀엠브레인,169330,자산(*)(천원),16144503,16483808,17001283,30900255,31391923
(주)레몬,294140,자산(*)(천원),16164928,36171903,98414205,98657529,45741569
(주)유일로보틱스,388720,자산(*)(천원),16179467,19293907,20471533,25297056,37187682
(주)토탈소프트뱅크,45340,자산(*)(천원),16188431,20369435,21363966,24136284,26745544
(주)와이엠텍,273640,자산(*)(천원),16241531,21765100,23551226,28305274,52122134
비씨엔씨(주),146320,자산(*)(천원),16327564,23645190,35485962,54588583,66539611
(주)진매트릭스,109820,자산(*)(천원),16343467,30420878,28455836,38167716,39532094
이노뎁(주),303530,자산(*)(천원),16386569,21019860,26198717,36284064,55310949
(주)미코바이오메드,214610,자산(*)(천원),16442876,23104515,24962927,70089436,87756043
미디어젠(주),279600,자산(*)(천원),16549471,15187707,30458965,31750278,32135986
(주)위지윅스튜디오,299900,자산(*)(천원),16562597,59265842,77918202,83735270,205611249
키네마스터(주),139670,자산(*)(천원),16578004,12744070,12753329,14156031,23996905
(주)리파인,377450,자산(*)(천원),16712032,19072252,29982289,49522328,147234613
나노씨엠에스(주),247660,자산(*)(천원),16730461,14784179,15881469,17551521,51291726
(주)케이비지,318000,자산(*)(천원),16753885,19800101,28156723,31068573,42000203
(주)솔트룩스,304100,자산(*)(천원),16979842,42382835,42454135,64284983,79456452
(주)골드앤에스,35290,자산(*)(천원),16994788,42472631,16096170,20634172,26144813
(주)유씨아이,38340,자산(*)(천원),17333861,17456552,48134429,51410063,32853369
브레인즈컴퍼니(주),99390,자산(*)(천원),17423922,19883573,20996466,28069104,44841720
(주)피앤텔,54340,자산(*)(천원),17677458,35241333,16703584,,
(주)네오리진,94860,자산(*)(천원),17731465,14691632,14066760,11435746,52887887
에이치비솔루션(주),297890,자산(*)(천원),17757252,39762187,53596709,65965480,158624817
(주)엔바이오니아,317870,자산(*)(천원),17762114,18027431,30141955,29232120,36288510
에스퓨얼셀(주),288620,자산(*)(천원),17847971,56426179,69684421,110658751,118716113
(주)나노브릭,286750,자산(*)(천원),17992554,18089979,24551526,22122099,32994831
(주)모비스,250060,자산(*)(천원),18034552,27488905,27231710,28256805,33438222
(주)배럴,267790,자산(*)(천원),18038706,41848150,59689555,49140886,51447963
이삭엔지니어링(주),351330,자산(*)(천원),18217972,26498687,33277374,32106044,54034523
(주)노바텍,285490,자산(*)(천원),18408833,32623828,44428906,65507311,67208190
(주)에스아이리소스,65420,자산(*)(천원),18409070,21387789,13041168,15361563,20188022
(주)수젠텍,253840,자산(*)(천원),18445639,24371975,45489112,72987655,155454041
(주)넥스틴,348210,자산(*)(천원),18602633,18944311,18345596,53854057,75853914
(주)휴럼,284420,자산(*)(천원),18772729,18689606,30999366,38908803,
(주)마이더스AI,222810,자산(*)(천원),18780495,49385746,47295918,45126972,
아이디피(주),332370,자산(*)(천원),18994995,23636027,26293873,39105557,45793723
브릿지바이오테라퓨틱스(주),288330,자산(*)(천원),19105105,11735878,79952343,63504906,46558403
(주)주노콜렉션,221670,자산(*)(천원),19212114,25886361,,,
(주)에프앤가이드,64850,자산(*)(천원),19212401,49457050,54335975,61767032,95054979
(주)아이퀘스트,262840,자산(*)(천원),19369795,18309204,21000317,29801052,53238818
(주)제테마,216080,자산(*)(천원),19387164,51287324,62286133,66860282,147925225
(주)베노홀딩스,206400,자산(*)(천원),19636000,24109126,44519677,74290373,130545923
(주)이엠네트웍스,87730,자산(*)(천원),19650394,76180499,57032067,37047129,
(주)이퓨쳐,134060,자산(*)(천원),19675309,20536452,23119509,21659304,22744376
(주)옵티팜,153710,자산(*)(천원),19844279,42639445,41719479,41321032,41168305
(주)지아이텍,382480,자산(*)(천원),19971745,22765856,25080216,33580608,63933748
(주)앱코,129890,자산(*)(천원),20216681,37313870,57164429,147716973,124184059
(주)한독크린텍,256150,자산(*)(천원),20219186,25087853,41463932,48349815,58535994
(주)티에스아이,277880,자산(*)(천원),20275783,35142664,54565468,67283662,123773424
라온시큐어(주),42510,자산(*)(천원),20325288,26825938,49454967,44457716,61208158
에이비엘바이오(주),298380,자산(*)(천원),20369636,168869115,142902745,99894442,65452756
감성코퍼레이션(주),36620,자산(*)(천원),20440706,16291428,40412370,40475643,44646890
(주)엘앤씨바이오,290650,자산(*)(천원),20490473,56940093,64048897,73528772,84146529
에스씨아이평가정보(주),36120,자산(*)(천원),20662145,23251275,30536066,33811406,38836673
앱클론(주),174900,자산(*)(천원),20865042,28703900,46968451,40129506,29827551
(주)지앤비에스엔지니어링,382800,자산(*)(천원),20911921,26390330,30013434,46520686,67901644
(주)인트로메딕,150840,자산(*)(천원),21269554,31621973,34220058,31507373,62444039
(주)엔케이맥스,262760,자산(*)(천원),21316271,51617805,,,
(주)세영디앤씨,52190,자산(*)(천원),21615264,57299421,38131555,30909072,4399386
올릭스(주),226950,자산(*)(천원),21640292,55665542,47367423,82168993,84994166
(주)에이트원,230980,자산(*)(천원),21681461,40020094,32473783,40482691,57632922
(주)알비더블유,361570,자산(*)(천원),21751816,30587704,33408095,89084315,92243274
(주)아이윈플러스,123010,자산(*)(천원),21820800,17628041,28829937,41767062,44631483
(주)드림시큐리티,203650,자산(*)(천원),21837665,24698314,77356759,79768674,139235594
비나텍(주),126340,자산(*)(천원),21908240,33489980,47961282,85529363,98115988
(주)큐브엔터테인먼트,182360,자산(*)(천원),22050841,28593708,31782787,57474428,51439299
(주)블루베리엔에프티,44480,자산(*)(천원),22200687,49852503,79064180,64890538,68357506
케이엠제약(주),237720,자산(*)(천원),22230261,23955875,,,
(주)에스피시스템스,317830,자산(*)(천원),22423648,45663392,56744844,52584111,61964608
(주)바이브컴퍼니,301300,자산(*)(천원),22425135,31844444,31453420,56592834,95993420
에스지에이클라우드서비스(주),224880,자산(*)(천원),22644437,19142529,6360875,3793463,
프레스티지바이오로직스(주),334970,자산(*)(천원),22820287,85644336,72103756,50232970,206768009
(주)코원플레이,56000,자산(*)(천원),23050028,22369181,19803544,49965896,27960902
(주)코윈테크,282880,자산(*)(천원),23126396,40391380,114961957,125099693,163775555
(주)지성이씨에스,138290,자산(*)(천원),23324387,,,,
(주)에스제이그룹,306040,자산(*)(천원),23491746,37693498,89588318,119957627,143025588
(주)영림원소프트랩,60850,자산(*)(천원),23578307,18303965,29504382,51303188,54333037
(주)멕아이씨에스,58110,자산(*)(천원),23670512,22418604,23149543,69577176,92729491
(주)뉴트리,270870,자산(*)(천원),23792300,58954917,72505084,92864853,133039651
(주)한국비엔씨,226610,자산(*)(천원),24123440,30843928,,,
(주)로보로보,215100,자산(*)(천원),24307583,26399244,26281613,24711026,30641258
(주)중앙디앤엠,51980,자산(*)(천원),24379033,21763141,33330121,54247715,50506211
(주)버킷스튜디오,66410,자산(*)(천원),24444762,34550470,53999881,72610294,302314817
(주)엔에프씨,265740,자산(*)(천원),24537832,41000335,53642476,77595568,68444087
(주)액션스퀘어,205500,자산(*)(천원),24636039,20926474,30870534,25907186,57264512
(주)엔비티,236810,자산(*)(천원),24747294,22857684,27239819,30119202,76296896
(주)디엔에이링크,127120,자산(*)(천원),24992396,34747561,24516852,50945816,39400859
(주)네오크레마,311390,자산(*)(천원),25039010,32286515,45863302,48477600,49915511
(주)지티지웰니스,219750,자산(*)(천원),25089183,28446187,46220807,50536727,45861377
(주)얼라인드제네틱스,238120,자산(*)(천원),25187654,23054467,24461132,25920432,34689332
(주)세종메디칼,258830,자산(*)(천원),25368156,46102466,49360169,45920876,90692813
애니젠(주),196300,자산(*)(천원),25433671,35424188,30731927,31236663,32414813
(주)미애부,225850,자산(*)(천원),25625391,22338566,16074919,9738623,9690054
(주)와이팜,332570,자산(*)(천원),25640631,40213551,54577414,104367510,107498205
(주)나이벡,138610,자산(*)(천원),25750373,22317590,35734880,53080037,53277317
(주)모헨즈,6920,자산(*)(천원),26072046,29467950,25717995,22805348,22173334
(주)로지시스,67730,자산(*)(천원),26178335,25946301,24235178,23973008,26248059
(주)메디프론디비티,65650,자산(*)(천원),26243666,21570269,19459610,45040496,49097276
(주)에이치피오,357230,자산(*)(천원),26359724,32600499,40898678,73621263,148311856
(주)제이에스피브이,250300,자산(*)(천원),26411604,,,,
(주)인산가,62580,자산(*)(천원),26529875,,,,
(주)골드퍼시픽,38530,자산(*)(천원),26567967,37288362,72945743,71420104,87388934
(주)유바이오로직스,206650,자산(*)(천원),26852411,68237555,92765393,155955271,148770437
(주)더블유아이,73570,자산(*)(천원),26873064,50482764,52816652,50603504,53629112
고려신용정보(주),49720,자산(*)(천원),27167648,32970957,45764350,61312831,65243966
(주)휴엠앤씨,263920,자산(*)(천원),27274039,32987226,85663805,46669863,38580894
(주)디아크,78590,자산(*)(천원),27530067,63709884,64605288,470374970,31015189
(주)티씨엠생명과학,228180,자산(*)(천원),27617811,21350789,20325155,,
(주)아이티엑스에이아이,99520,자산(*)(천원),27909280,20596414,21640097,47977922,25066000
(주)비엔지티,32790,자산(*)(천원),27941311,46225348,34683547,36731935,53599938
참존글로벌(주),158310,자산(*)(천원),27950624,43258245,74354461,22979031,29951387
(주)세화피앤씨,252500,자산(*)(천원),28319079,30961519,29486062,33753675,41090974
(주)썸에이지,208640,자산(*)(천원),28364183,39965489,32775596,32150237,51138902
(주)이미지스테크놀로지,115610,자산(*)(천원),28404415,20214026,14682653,9982753,11595042
풍원정밀(주),371950,자산(*)(천원),28455985,36005989,46692970,52891330,65919054
(주)팜스빌,318010,자산(*)(천원),28468557,33514335,67965802,69348283,74669874
(주)케이씨에스,115500,자산(*)(천원),28510219,31138899,35524836,31304361,32923028
(주)라온테크,232680,자산(*)(천원),28542061,23413815,18754930,24792041,38861482
(주)퓨쳐켐,220100,자산(*)(천원),28545835,49579249,47545679,67013704,61765042
에이에프더블류(주),312610,자산(*)(천원),28601459,36880766,78308245,75587225,71116903
(주)미래생명자원,218150,자산(*)(천원),28668565,30126626,34097096,33884877,51861442
글로본(주),19660,자산(*)(천원),28697292,47555586,33229332,36047902,35985259
비비씨(주),318410,자산(*)(천원),28771251,30909800,39104236,75788865,78429487
(주)에스앤디,260970,자산(*)(천원),28808702,28838631,36785814,45256584,83201715
(주)퓨전,195440,자산(*)(천원),28834298,22699871,53218724,15227300,
(주)스포츠서울,39670,자산(*)(천원),28835546,84378732,70942431,15543122,15332292
휴마시스(주),205470,자산(*)(천원),28944370,34293774,36487811,68348452,329679218
(주)광무,29480,자산(*)(천원),28950503,26017306,57156720,37073488,99477306
(주)한창바이오텍,43090,자산(*)(천원),29034818,24817943,28349718,25131245,57482974
(주)레이,228670,자산(*)(천원),29137311,44556293,78072723,89688744,147049447
(주)칩스앤미디어,94360,자산(*)(천원),29206913,32078719,36098846,40000688,46168001
(주)피피아이,62970,자산(*)(천원),29226062,34304092,38930912,34493579,21600498
(주)디지캡,197140,자산(*)(천원),29387150,36931541,44358090,47233275,57062701
에이피티씨(주),89970,자산(*)(천원),29614895,64674902,65427482,120880623,145589348
(주)오스테오닉,226400,자산(*)(천원),29656912,43998745,52317322,63330127,64170418
(주)엠아이텍,179290,자산(*)(천원),29680078,49256396,57395498,68036041,78525158
대한그린파워(주),60900,자산(*)(천원),29746851,25313758,38990864,62833508,83454624
(주)아이씨케이,68940,자산(*)(천원),29821093,27500072,35869322,35251886,40012902
