회사,amount,년도,2017,2018,2019,2020,2021
회사명,거래소코드,항목,amount,amount,amount,amount,amount
(주)누리플랜,69140,자산(*)(천원),38784727,41435705,53279801,60917018,66902783
광진실업(주),26910,자산(*)(천원),38836372,36242698,36126776,36231068,42415672
(주)에이디칩스,54630,자산(*)(천원),38947789,42227702,42768736,45595101,53652158
(주)넥스지,81970,자산(*)(천원),39019022,,,,
지니언스(주),263860,자산(*)(천원),39120613,39813248,44532658,46014339,52465224
(주)켐온,217600,자산(*)(천원),39462658,42473049,44622023,72680985,80322140
(주)케이엘넷,39420,자산(*)(천원),39646327,41904273,44695095,45677949,51361155
(주)더네이쳐홀딩스,298540,자산(*)(천원),39727495,72357989,132884379,258234013,376607183
에이치엘비제약(주),47920,자산(*)(천원),39846376,34198002,46394311,111419822,127632308
(주)랩지노믹스,84650,자산(*)(천원),39868778,47094426,49477979,109385764,204450236
(주)피에이치씨,57880,자산(*)(천원),40079244,42793282,69023897,78945278,95287706
(주)에스에이티,158300,자산(*)(천원),40177166,43292856,35556604,48217215,
(주)바른손,18700,자산(*)(천원),40475076,38500063,37155302,54160335,77360820
(주)에프에스엔,214270,자산(*)(천원),40503531,161066788,180852338,174272490,173745366
(주)상지카일룸,42940,자산(*)(천원),40562325,124580738,127316138,119420360,90649335
한국맥널티(주),222980,자산(*)(천원),40588924,41100683,49056454,56399568,67989736
(주)마이크로컨텍솔루션,98120,자산(*)(천원),40781110,35729442,37280225,42203875,51057392
(주)자연과환경,43910,자산(*)(천원),40807777,42442593,61219693,65087195,85608413
(주)프로스테믹스,203690,자산(*)(천원),40937086,33152555,31980761,60056015,51772415
(주)알테오젠,196170,자산(*)(천원),41274016,67081671,79536561,115366181,189075060
(주)코너스톤네트웍스,33110,자산(*)(천원),41278481,49242385,64021459,28915817,
(주)코디,80530,자산(*)(천원),41279052,76094627,70681476,70638896,69343838
(주)트레이스,52290,자산(*)(천원),41389789,,,,
(주)위너지스,26260,자산(*)(천원),41613000,,,,
엠에프엠코리아(주),251960,자산(*)(천원),41786203,47397470,52367722,,
(주)케일럼,258610,자산(*)(천원),41844935,53298455,48622782,112863761,80977514
(주)포인트모바일,318020,자산(*)(천원),41885684,65685989,67291690,87010341,92954740
(주)에디슨이브이,136510,자산(*)(천원),41990120,42666564,37915443,29513792,109367735
(주)그린플러스,186230,자산(*)(천원),42011558,48674825,56587945,72749601,87360313
(주)피코그램,376180,자산(*)(천원),42146654,35265137,35349085,37736616,50285053
(주)뉴인텍,12340,자산(*)(천원),42219720,40551698,46884561,48563753,78106063
(주)팬스타엔터프라이즈,54300,자산(*)(천원),42234587,45143337,67456477,71000584,81200735
(주)씨엔플러스,115530,자산(*)(천원),42349389,37183600,19805811,27979089,22865640
(주)윌링스,313760,자산(*)(천원),42387936,44115368,48729957,44163415,58205550
(주)제이티,89790,자산(*)(천원),42425698,42019563,57029871,54576899,76462265
(주)씨씨에스충북방송,66790,자산(*)(천원),42463594,35690577,32950970,34806609,28825857
(주)큐로홀딩스,51780,자산(*)(천원),42640584,44601651,41168709,42841328,51573127
(주)리드,197210,자산(*)(천원),42703334,103163535,29915769,,
(주)에너토크,19990,자산(*)(천원),42797803,44313228,44109277,46309749,51457592
(주)파이오링크,170790,자산(*)(천원),42847676,46312626,53356218,70679856,83783961
(주)동운아나텍,94170,자산(*)(천원),42933844,41671771,54041008,70231515,63198431
(주)시티랩스,139050,자산(*)(천원),42980146,46874910,82805602,75729762,80570623
(주)넥슨게임즈,225570,자산(*)(천원),42988788,29415924,72946033,94417760,126769758
(주)나이스디앤비,130580,자산(*)(천원),43008000,51102350,60523112,68802755,79872436
(주)세진티에스,67770,자산(*)(천원),43289897,40657296,38025649,40164866,43416326
(주)티로보틱스,117730,자산(*)(천원),43378342,62283441,76912821,75304119,77005712
(주)디알텍,214680,자산(*)(천원),43378522,49653053,71560870,90155734,92729744
케이에이치건설(주),226360,자산(*)(천원),43465044,46324147,101518400,119901651,189309488
(주)코이즈,121850,자산(*)(천원),43549826,38880214,31624080,32397380,21500835
(주)서전기전,189860,자산(*)(천원),43583060,52452888,56704266,56110222,50633082
(주)파수,150900,자산(*)(천원),43641236,46069259,47797776,42128506,44173743
엔시트론(주),101400,자산(*)(천원),43713656,26483430,32610292,28436480,36250486
(주)비엘팜텍,65170,자산(*)(천원),43731688,73946349,62066019,79935749,84483267
(주)폴라리스오피스,41020,자산(*)(천원),43802522,43426549,34846178,50831002,53037547
(주)비케이홀딩스,50090,자산(*)(천원),44139463,33215957,43938679,44602544,42173162
(주)에스엠라이프디자인그룹,63440,자산(*)(천원),44234219,55274000,53864446,52668339,56371778
(주)포시에스,189690,자산(*)(천원),44268404,51263429,53134310,57084099,63443161
(주)서산,79650,자산(*)(천원),44271747,42514749,40675572,39541594,42422865
(주)엠게임,58630,자산(*)(천원),44407664,41793573,49087281,57123806,85290909
제너셈(주),217190,자산(*)(천원),44448510,46884413,48774952,54333771,67867117
(주)강스템바이오텍,217730,자산(*)(천원),44508729,66184838,98625925,68097299,90179843
(주)디와이디,219550,자산(*)(천원),44552922,32003160,50541095,21166135,8453731
(주)기산텔레콤,35460,자산(*)(천원),44554117,34219394,40025881,42845627,36649803
(주)바이오로그디바이스,208710,자산(*)(천원),44572583,53535174,53107447,66544936,72592951
(주)스킨앤스킨,159910,자산(*)(천원),44591924,50285345,47181987,14730200,40687913
(주)삼양옵틱스,225190,자산(*)(천원),44593069,45594432,49355040,44435802,52303986
(주)율호,72770,자산(*)(천원),44634126,43017394,46580595,48972390,76519754
(주)타이거일렉,219130,자산(*)(천원),44924781,46931537,60479814,68125229,71068625
명성티엔에스(주),257370,자산(*)(천원),45082139,65273860,66098282,59778222,50267153
(주)티사이언티픽,57680,자산(*)(천원),45277385,70385119,78017559,108716263,296285268
(주)나노엔텍,39860,자산(*)(천원),45400592,45657059,50554981,55778128,65955525
(주)이크레더블,92130,자산(*)(천원),45426441,51905911,57252182,61302237,67052558
(주)삼화네트웍스,46390,자산(*)(천원),45489230,54525789,43473520,34204072,70406145
(주)지란지교시큐리티,208350,자산(*)(천원),45583939,41372752,49049508,57083922,62753097
(주)인트론바이오테크놀로지,48530,자산(*)(천원),45794775,54978765,89255649,101231440,154135201
(주)로보티즈,108490,자산(*)(천원),45906508,69268824,64609259,72663050,78618966
인바이오(주),352940,자산(*)(천원),46042117,53042422,62131904,71477184,90604741
(주)액트로,290740,자산(*)(천원),46119000,85806816,87495654,81289067,80043248
(주)아진엑스텍,59120,자산(*)(천원),46145660,46712263,48167634,48347002,51310527
(주)케이에스피,73010,자산(*)(천원),46288402,40606904,44248244,46847055,49457793
(주)제넨바이오,72520,자산(*)(천원),46628595,70463510,83980821,97225113,135262844
(주)데코앤이,17680,자산(*)(천원),46675197,64351415,,,
위즈코프(주),38620,자산(*)(천원),46752693,44045947,41726591,47791954,83154869
(주)에이텍티앤,224110,자산(*)(천원),46874490,45025628,52392324,45783627,44567737
(주)손오공,66910,자산(*)(천원),46876389,33893032,43705598,41377491,44684612
원풍물산(주),8290,자산(*)(천원),47000227,46570934,64045771,52283732,39684290
(주)하이로닉,149980,자산(*)(천원),47304998,42400085,46423860,47632007,67408561
(주)프리엠스,53160,자산(*)(천원),47370268,48373399,48143783,52832385,63983130
(주)텔레필드,91440,자산(*)(천원),47471762,44398026,48812086,54185321,39212927
국일신동(주),60480,자산(*)(천원),47608413,47313454,53370196,52300668,53022841
(주)아이엠텍,226350,자산(*)(천원),47664340,32627592,52827782,28073825,
(주)샘씨엔에스,252990,자산(*)(천원),47982910,40323735,42049980,46716756,160767646
한국전자인증(주),41460,자산(*)(천원),48167920,52338956,57137539,57577668,62006718
(주)엑셈,205100,자산(*)(천원),48294026,64866925,71355037,78808242,95015934
제이엠아이(주),33050,자산(*)(천원),48321942,52651579,47759041,48103473,49758069
(주)유니온커뮤니티,203450,자산(*)(천원),48497945,48291855,54525583,58800905,55837562
테고사이언스(주),191420,자산(*)(천원),48591783,47387707,48539936,50386453,50798384
한양디지텍(주),78350,자산(*)(천원),48601405,56763563,87515919,99088260,164536662
(주)피엔풍년,24940,자산(*)(천원),48628438,48526282,52445651,49212756,54189028
(주)소룩스,290690,자산(*)(천원),48714713,43769019,48227223,66569299,73881140
현대바이오사이언스(주),48410,자산(*)(천원),48723426,51126089,62485743,90299448,74917630
(주)위드텍,348350,자산(*)(천원),48857079,59020431,80693464,114941539,124570642
상신전자(주),263810,자산(*)(천원),48869764,47497025,47265423,56565849,59737116
(주)행남사,8800,자산(*)(천원),48899395,97948943,44861059,31152836,
(주)알톤스포츠,123750,자산(*)(천원),49029050,48302262,24581097,24465095,36389157
(주)에이디테크놀로지,200710,자산(*)(천원),49063072,76828088,110877555,214098119,223279292
아이텍(주),119830,자산(*)(천원),49137646,118907096,93926339,142972679,141462467
(주)이글루코퍼레이션,67920,자산(*)(천원),49510024,55975127,59255476,60866812,84556607
(주)협진,138360,자산(*)(천원),49600159,66557948,50457965,47001016,71222446
(주)마니커에프앤지,195500,자산(*)(천원),49610351,52850161,58497680,86577471,105446373
(주)팍스넷,38160,자산(*)(천원),49625005,62461084,76132171,26832211,
신라에스지(주),25870,자산(*)(천원),49675575,48570624,45534947,40499121,44689749
(주)이글벳,44960,자산(*)(천원),49767855,46110740,45944755,48408391,52600943
빛샘전자(주),72950,자산(*)(천원),49777135,51433552,52819999,60265010,74020139
(주)씨앤씨인터내셔널,352480,자산(*)(천원),49930955,85326904,103170255,123871293,161347917
(주)에스제이케이,80440,자산(*)(천원),49964482,64434011,59723547,,
(주)씨에스,65770,자산(*)(천원),50215298,32463728,27205598,28435858,34584979
(주)케이엔더블유,105330,자산(*)(천원),50251505,48910914,39845942,45126639,66445407
씨에스베어링(주),297090,자산(*)(천원),50254186,61133406,95591338,127931860,129593526
씨유테크(주),376290,자산(*)(천원),50269559,56376958,93254499,49692803,81541802
한솔인티큐브(주),70590,자산(*)(천원),50283357,40357732,40780682,41786004,45452931
(주)드래곤플라이,30350,자산(*)(천원),50306246,19895923,15028635,20622374,61303458
(주)조이시티,67000,자산(*)(천원),50312808,55567993,65213593,112243402,237325898
(주)미래SCI,28040,자산(*)(천원),50374273,60539007,48377378,,
(주)우리로,46970,자산(*)(천원),50660454,72007702,71699814,58136461,59866237
테라사이언스(주),73640,자산(*)(천원),50667007,47742760,52700654,49357645,97640790
(주)아이스크림에듀,289010,자산(*)(천원),51163745,68986867,95666665,99812770,89743144
(주)유테크,178780,자산(*)(천원),51209774,39605444,37883273,35540970,16283611
(주)네이처셀,7390,자산(*)(천원),51440663,52875422,93110328,85749950,69649962
(주)켐트로스,220260,자산(*)(천원),51518272,64888243,68065771,71478585,95236850
알서포트(주),131370,자산(*)(천원),51646736,56829548,73145339,64600099,83294848
(주)브리지텍,64480,자산(*)(천원),51895512,56122698,42299688,42554123,59134278
램테크놀러지(주),171010,자산(*)(천원),51911958,51898719,70357034,67093057,68948396
(주)피델릭스,32580,자산(*)(천원),52092082,64508924,68738429,59909148,52494928
(주)파워넷,37030,자산(*)(천원),52422224,82183612,104443244,117120735,154323505
(주)에스엘바이오닉스,214310,자산(*)(천원),52542796,63643034,42746226,63285592,74185765
(주)디지아이,43360,자산(*)(천원),52592359,51376874,48781971,51313837,49549283
(주)삼에스코리아,60310,자산(*)(천원),52640042,47618797,51063480,48253315,51831193
(주)아우딘퓨쳐스,227610,자산(*)(천원),52672720,59660386,50373154,53553545,49114266
바이온(주),32980,자산(*)(천원),52735088,66437461,52636731,42835852,41892875
(주)이씨에스텔레콤,67010,자산(*)(천원),52805922,58252052,59582768,63334050,67302599
(주)스튜디오산타클로스엔터테인먼트,204630,자산(*)(천원),52880427,53682258,50284018,60111336,114518109
(주)펩트론,87010,자산(*)(천원),53048615,71758902,60985838,117701410,77868954
(주)아미노로직스,74430,자산(*)(천원),53098982,56857564,57772372,60127134,65241104
이트론(주),96040,자산(*)(천원),53109109,47028711,104903300,112932667,146944607
에이아이비트(주),39230,자산(*)(천원),53312193,71898940,58338101,54707705,
대신정보통신(주),20180,자산(*)(천원),53377157,66764698,61164955,82488222,70506587
(주)소리바다,53110,자산(*)(천원),53388090,61697932,53602747,32098312,27441114
디에스티(주),33430,자산(*)(천원),53426575,56083115,54460349,55868526,
올리패스(주),244460,자산(*)(천원),53439741,31590668,49083959,68206811,45938197
모바일어플라이언스(주),87260,자산(*)(천원),53462805,58015659,51561822,75811176,81121053
(주)비트컴퓨터,32850,자산(*)(천원),53486604,55971073,61549147,70361684,71059183
(주)엔케이맥스,182400,자산(*)(천원),53553028,73182927,174102001,205208762,207468258
(주)더 미동,161570,자산(*)(천원),53589919,37485592,35999074,22262469,25479065
(주)피씨디렉트,51380,자산(*)(천원),53639610,56591739,67604517,81428735,95053095
(주)씨그널엔터테인먼트그룹,99830,자산(*)(천원),53687213,,,,
경남제약(주),53950,자산(*)(천원),53756663,53322421,74761331,126618360,125126999
(주)한국팩키지,37230,자산(*)(천원),53835080,52896709,70585402,81251083,181954585
(주)디딤,217620,자산(*)(천원),53913043,63314495,111113819,82903636,58918171
(주)바이오톡스텍,86040,자산(*)(천원),53934065,57912152,60584722,63705372,88252746
(주)에쎈테크,43340,자산(*)(천원),54088454,47967442,42894804,61546728,86722692
(주)유아이디,69330,자산(*)(천원),54269134,40666509,30471495,27175061,28938335
(주)한국파마,32300,자산(*)(천원),54275881,62230668,66747376,81320125,129401352
(주)쎄노텍,222420,자산(*)(천원),54409154,70474521,85262664,81108537,89616601
럭슬(주),33600,자산(*)(천원),54619376,66144514,,,
(주)전우정밀,120780,자산(*)(천원),54939347,54590383,47877373,41688913,
(주)메디아나,41920,자산(*)(천원),55118507,56673633,64785938,76707388,90189792
(주)메디콕스,54180,자산(*)(천원),55276578,52453346,55809765,83458944,101974116
(주)지씨셀,144510,자산(*)(천원),55355541,57268066,64917128,71841045,640620054
오션브릿지(주),241790,자산(*)(천원),55403370,70903922,71160894,86542064,93171621
(주)장원테크,174880,자산(*)(천원),55463644,62501834,138346349,113642691,116853830
(주)엔텔스,69410,자산(*)(천원),55633682,54963992,64698343,59828078,66562406
(주)파인넥스,123260,자산(*)(천원),55706693,59064714,,,
크로바하이텍(주),43590,자산(*)(천원),55786459,63496122,25652205,18128126,31241491
(주)셀바스헬스케어,208370,자산(*)(천원),55995230,41439573,47023141,45161728,48419560
(주)마이크로프랜드,147760,자산(*)(천원),56111035,61725040,58240307,66137581,70123223
(주)이엠넷,123570,자산(*)(천원),56252503,66437328,71712371,82087847,109526237
대모엔지니어링(주),317850,자산(*)(천원),56299387,57578800,74243887,74613026,77830040
(주)하이소닉,106080,자산(*)(천원),56475542,33433178,17390395,20759458,18745131
(주)아이컴포넌트,59100,자산(*)(천원),56512382,53507098,49844304,46465058,50523521
(주)트윔,290090,자산(*)(천원),56658113,47129158,44498329,52890356,81194724
커머스마이너 (주),223310,자산(*)(천원),56669217,67052040,39826671,31775846,23337208
(주)판타지오,32800,자산(*)(천원),56689113,50207685,36378592,26626718,59625258
(주)브이티지엠피,18290,자산(*)(천원),56768349,67816541,122122968,139738712,160949198
(주)오리엔탈정공,14940,자산(*)(천원),56929722,60953725,65089445,92090211,96926276
디엑스앤브이엑스(주),180400,자산(*)(천원),56975415,61097929,30269029,30071603,40677506
(주)코센,9730,자산(*)(천원),57150089,55961553,85173019,52813858,41522721
(주)태웅로직스,124560,자산(*)(천원),57339448,66609727,84472369,109270265,284293002
(주)오킨스전자,80580,자산(*)(천원),57364456,49448739,55574356,59563345,78832172
(주)우성아이비,194610,자산(*)(천원),57509096,,,,
(주)녹십자엠에스,142280,자산(*)(천원),57624087,60982362,85901362,99876852,91504231
(주)큐에스아이,66310,자산(*)(천원),57733520,54564654,58836161,76128883,82449552
(주)에이치엘사이언스,239610,자산(*)(천원),57736972,71411652,94422424,107059144,117741895
알리코제약(주),260660,자산(*)(천원),57746357,110568380,118754000,110287842,121061551
(주)네오팜,92730,자산(*)(천원),57785337,74458661,123245965,132823267,142191467
아이큐어(주),175250,자산(*)(천원),57797944,120418443,186734727,172592127,191549501
아이크래프트(주),52460,자산(*)(천원),57819085,45004979,48817754,60959608,62571005
제룡전기(주),33100,자산(*)(천원),57852594,58998246,64293249,71229149,77411561
(주)케이아이엔엑스,93320,자산(*)(천원),57901667,67116092,92556339,125770277,149090249
(주)씨앤투스성진,352700,자산(*)(천원),57994824,53437357,50310401,114465847,178329100
에프엔에스테크(주),83500,자산(*)(천원),58060531,68708846,78080139,104894288,92889012
한창산업(주),79170,자산(*)(천원),58183651,59066336,60636709,60405479,67415282
에이치엘비생명과학(주),67630,자산(*)(천원),58310885,332792766,372491577,327622372,271221809
(주)유틸렉스,263050,자산(*)(천원),58487904,85078481,76035356,106019576,102241508
(주)미래테크놀로지,213090,자산(*)(천원),58597366,56907119,60573769,61196122,
(주)바른손이앤에이,35620,자산(*)(천원),58622618,111896610,106761431,117477048,148613444
영화테크(주),265560,자산(*)(천원),58638984,57518294,55911769,62891711,67005512
(주)앤씨앤,92600,자산(*)(천원),58644204,52426532,78739999,98758721,99318896
(주)바이오니아,64550,자산(*)(천원),58705528,69333072,74980585,171571893,222880582
코아스템(주),166480,자산(*)(천원),58721765,54212635,48728403,77397024,63563652
지에이치신소재(주),130500,자산(*)(천원),58892436,78433034,77110983,79882233,97171353
(주)에스마크,30270,자산(*)(천원),59062302,51923861,28841547,,
(주)나노,187790,자산(*)(천원),59149648,66624058,73016346,69834141,58231241
제룡산업(주),147830,자산(*)(천원),59171858,58914390,61520654,66150549,73657912
조광아이엘아이(주),44060,자산(*)(천원),59296096,64012148,93528657,114058063,130153162
(주)엔에스,217820,자산(*)(천원),59422127,70802820,105242209,93976884,118807204
(주)아이앤씨테크놀로지,52860,자산(*)(천원),59500034,60806364,66575669,58622621,62067029
(주)티엘비,356860,자산(*)(천원),59647312,59163656,75125425,113645525,124694488
한국유니온제약(주),80720,자산(*)(천원),60016489,85662982,95814762,97160059,119611630
(주)안트로젠,65660,자산(*)(천원),60298401,101441141,84593765,94204109,136700768
(주)이엘피,63760,자산(*)(천원),60343206,76994450,76069563,74113813,81674959
(주)엠플러스,259630,자산(*)(천원),60361054,102616127,142034463,140861687,178202636
(주)트루윈,105550,자산(*)(천원),60392171,52399223,56243073,95680435,116874704
(주)솔고바이오메디칼,43100,자산(*)(천원),60461302,70666784,51140993,50369591,49179060
(주)중앙에너비스,440,자산(*)(천원),60493562,58743738,61525322,71272134,64400268
(주)보라티알,250000,자산(*)(천원),60563965,56780147,84921422,79981786,84576452
우진비앤지(주),18620,자산(*)(천원),60637891,47192507,58381255,57190109,54346911
(주)포메탈,119500,자산(*)(천원),60815974,60655815,62692670,63223379,64475166
(주)딜리,131180,자산(*)(천원),60965719,61437563,64733432,61534180,69283378
(주)키이스트,54780,자산(*)(천원),61183883,59855921,70753806,70260135,63759829
(주)한컴지엠디,77280,자산(*)(천원),61187491,60858129,,,
(주)샘코,263540,자산(*)(천원),61475210,70479383,41897759,42463979,
(주)빅텍,65450,자산(*)(천원),61861299,66300861,93617772,112734681,92867616
(주)씨유메디칼시스템,115480,자산(*)(천원),61956029,82091647,94436187,69995414,67693459
(주)데이타솔루션,263800,자산(*)(천원),62046031,52873082,62996007,71343406,75250911
(주)아이엠비씨,52220,자산(*)(천원),62105451,59721218,63356556,65858698,67713705
위더스제약(주),330350,자산(*)(천원),62139452,69018224,76282983,107012761,118979070
더이앤엠(주),89230,자산(*)(천원),62197072,68879503,100352331,102399641,134481871
(주)그리티,204020,자산(*)(천원),62493776,86557287,86803901,82599999,73835239
(주)케이씨아이,36670,자산(*)(천원),62710014,65743049,78286906,84521835,97368840
(주)케이씨티,89150,자산(*)(천원),62835903,64250968,58441872,55516121,56740975
대원미디어(주),48910,자산(*)(천원),62861502,79700470,86660273,89409814,98132015
(주)정원엔시스,45510,자산(*)(천원),62899736,69263657,82586672,73453827,83904441
(주)에이치시티,72990,자산(*)(천원),62981411,71259749,76913972,87697116,110264906
(주)스카이문스테크놀로지,33790,자산(*)(천원),63081247,56321122,26928240,25772867,24869807
(주)클래시스,214150,자산(*)(천원),63139777,75670335,113571284,137299888,216131572
(주)이즈미디어,181340,자산(*)(천원),63220451,74082848,70286822,50831800,67763772
(주)웹스,196700,자산(*)(천원),63315677,64057053,64478506,64479930,63519544
(주)티에스넥스젠,43220,자산(*)(천원),63428582,48610114,56820958,56186356,98999176
(주)포인트엔지니어링,176560,자산(*)(천원),63472402,73394003,,,
(주)코디엠,224060,자산(*)(천원),63642121,93249224,99756487,99472104,82404775
소니드(주),60230,자산(*)(천원),63806190,67603421,84547768,84845527,144291897
(주)에프알텍,73540,자산(*)(천원),63964752,59746893,61526764,57448237,75056127
(주)제노포커스,187420,자산(*)(천원),64023694,65028048,73772065,94172250,95873997
(주)쎄트렉아이,99320,자산(*)(천원),64064801,72937955,88358446,101229844,217700448
피앤씨테크(주),237750,자산(*)(천원),64071370,65162377,68213532,69587745,73749431
(주)삼일기업공사,2290,자산(*)(천원),64106791,61777297,69829145,68203629,73241915
(주)케이엠에이치하이텍,52900,자산(*)(천원),64114674,75325921,73508429,96705795,158903322
(주)엠피대산,65150,자산(*)(천원),64136280,46160462,54035947,58491071,68043059
(주)에스앤더블류,103230,자산(*)(천원),64140404,57861674,55567064,53089640,53251539
(주)까스텔바작,308100,자산(*)(천원),64178530,78840385,88614189,100111686,116929289
(주)해성티피씨,59270,자산(*)(천원),64383856,37363497,35056771,34133200,49970092
(주)정다운,208140,자산(*)(천원),64418242,93953651,112861951,140390212,149555436
인카금융서비스(주),211050,자산(*)(천원),64496923,128021679,164214694,175405550,214851036
대봉엘에스(주),78140,자산(*)(천원),64703394,67272955,72704901,88420343,94555632
(주)가비아,79940,자산(*)(천원),64986436,69315988,82964911,98083331,107496533
에이치엘비테라퓨틱스(주),115450,자산(*)(천원),65007372,105766946,141801037,133281531,197550503
(주)아모센스,357580,자산(*)(천원),65132875,58871362,68735951,59036845,76208616
(주)제이테크놀로지,35480,자산(*)(천원),65214277,39076391,,,
(주)한국테크놀로지,53590,자산(*)(천원),65226072,34762104,64154797,58040477,38556041
(주)케이피티유,54410,자산(*)(천원),65296002,65556115,62232910,59762088,73666726
(주)코아시아옵틱스,196450,자산(*)(천원),65341499,57201104,98098809,84929614,118000318
효성오앤비(주),97870,자산(*)(천원),65374669,65054532,66580643,68916351,80639195
(주)세경하이테크,148150,자산(*)(천원),65393081,123478760,163348809,177247080,203204729
씨큐브(주),101240,자산(*)(천원),65451972,72801957,82177764,85053337,83637741
에스지에이솔루션즈(주),184230,자산(*)(천원),65460188,67492620,44762141,47052578,63666547
카페24(주),42000,자산(*)(천원),65465724,135998108,148596424,171060884,336615587
(주)아리온테크놀로지,58220,자산(*)(천원),65495521,72444749,85947297,28172953,
(주)크린앤사이언스,45520,자산(*)(천원),65542655,81285005,115859721,141047315,117640834
인포뱅크(주),39290,자산(*)(천원),65650428,66515121,65380274,67786760,80945286
(주)이브이수성,84180,자산(*)(천원),65747824,46762645,46990397,51760361,79131809
(주)흥국,10240,자산(*)(천원),65870681,71094222,73234366,78891659,90127414
(주)국영지앤엠,6050,자산(*)(천원),66101002,60335138,68657302,70027760,66277051
(주)셀루메드,49180,자산(*)(천원),66121770,48468870,39500384,41150571,72729497
씨앤티85(주),56730,자산(*)(천원),66164709,81481812,31743897,59865226,66140453
지나인제약(주),78650,자산(*)(천원),66208805,67250603,86831281,68726411,46388013
(주)파루,43200,자산(*)(천원),66491057,45920951,66743044,61129669,68470848
(주)화신테크,86250,자산(*)(천원),66704035,55260145,,46883354,
고려제약(주),14570,자산(*)(천원),66794035,72962058,75849501,83344757,88612611
(주)유니트론텍,142210,자산(*)(천원),67158718,84379913,99476094,115137496,158497253
(주)이큐셀,160600,자산(*)(천원),67283690,77121982,76453369,,25134788
(주)알파홀딩스,117670,자산(*)(천원),67409488,105442123,133776939,138617980,147147835
(주)셀바스에이아이,108860,자산(*)(천원),67492191,69731209,68559543,67315037,70788084
성우테크론(주),45300,자산(*)(천원),67660529,65080514,71126499,75317685,82897424
(주)백금티앤에이,46310,자산(*)(천원),67782127,67436933,61445123,57004440,59307232
(주)핸디소프트,220180,자산(*)(천원),67783464,54640551,65910032,66326647,73627507
서울전자통신(주),27040,자산(*)(천원),68500033,67054114,130365236,152369749,139657178
서암기계공업(주),100660,자산(*)(천원),68604285,68407348,69554367,68746562,72991174
(주)에이팩트,200470,자산(*)(천원),68891170,123162049,127408208,130423467,116061641
(주)서린바이오사이언스,38070,자산(*)(천원),68904819,68796137,77969175,74522189,133133578
(주)유니테크노,241690,자산(*)(천원),68998757,101067856,104146666,117636431,120129780
(주)오리엔트정공,65500,자산(*)(천원),69127516,87539735,85155077,72340749,75297121
(주)메지온,140410,자산(*)(천원),69214903,69570473,53051381,71356563,81797243
(주)플랜티넷,75130,자산(*)(천원),69229743,67604101,65346638,63524187,63123093
(주)유비케어,32620,자산(*)(천원),69251460,128479656,131769145,157895761,144818065
(주)흥국에프엔비,189980,자산(*)(천원),69276739,80436245,88207405,91838243,122671160
대동금속(주),20400,자산(*)(천원),69386122,85069831,106533539,106206685,105938309
(주)디모아,16670,자산(*)(천원),69440308,67553811,61389633,79341488,55659417
(주)에스티오,98660,자산(*)(천원),69460621,68041780,67483861,65965494,61220939
(주)유티아이,179900,자산(*)(천원),69788101,71882320,78845711,88797165,82194903
(주)이브이첨단소재,131400,자산(*)(천원),69950642,62741687,74431026,103583764,125138166
(주)인콘,83640,자산(*)(천원),70051557,96628982,96263601,121043427,119438394
(주)서울제약,18680,자산(*)(천원),70270901,70190179,70890348,65087339,62250025
(주)위메이드맥스,101730,자산(*)(천원),70348613,33204298,19086875,31832002,40983647
나노캠텍(주),91970,자산(*)(천원),70586107,97393350,66582647,63435820,72583519
(주)동일기연,32960,자산(*)(천원),70656416,60568446,57091220,56585464,66841449
(주)엔피케이,48830,자산(*)(천원),70898643,73538841,76431276,75444598,74117434
(주)세중,39310,자산(*)(천원),70970986,63911208,63216333,62229572,132146500
(주)씨엠에스에듀,225330,자산(*)(천원),71014610,91253043,99073349,97892398,
(주)윈팩,97800,자산(*)(천원),71156847,75073718,117478347,134221229,155515197
잉글우드랩(주),950140,자산(*)(천원),71159503,84370348,93641490,89360792,104106543
(주)수산아이앤티,50960,자산(*)(천원),71373432,74782313,79531987,84563939,84891942
(주)케이사인,192250,자산(*)(천원),71381046,68349854,64068712,72307599,75525439
(주)더에이치큐,192410,자산(*)(천원),71397708,56953903,51989709,65882145,77919867
(주)노바렉스,194700,자산(*)(천원),71571881,107314076,155770082,215141248,253794847
(주)에스에이티,60540,자산(*)(천원),71640551,75775796,79829335,81601343,86050290
케이디켐(주),221980,자산(*)(천원),72043460,76583189,77692124,89258763,96329471
(주)우리넷,115440,자산(*)(천원),72085316,86540630,94460310,99782423,98008817
(주)룽투코리아,60240,자산(*)(천원),72204107,71287141,83842780,88881684,71347899
오상자이엘(주),53980,자산(*)(천원),72334157,71768858,58403859,63367213,62045043
(주)힘스,238490,자산(*)(천원),72458776,65194765,86740548,90835512,84293188
(주)디이엔티,79810,자산(*)(천원),72592259,59770841,45872808,52020483,59875905
(주)삼진,32750,자산(*)(천원),72597948,72157055,83846723,87834106,95421066
케이피엑스라이프사이언스(주),114450,자산(*)(천원),72964194,69372426,71894429,70846460,71977239
뉴지랩파마(주),214870,자산(*)(천원),73353796,58643750,120130164,140163030,134695920
(주)나무가,190510,자산(*)(천원),73845257,78000824,157114377,161567610,152467271
진양제약(주),7370,자산(*)(천원),73848507,70061148,68277806,68076494,98501761
(주)피제이메탈,128660,자산(*)(천원),73904651,67636494,64413544,67394117,84174317
(주)인포마크,175140,자산(*)(천원),74028786,50704426,54806384,43137629,42002607
