회사명,폐지사유
구스앤홈,
극동자동화,
금빛,
금오하이텍,
넥스지,
녹십자셀,
다린,
대원모방,
더블유게임즈,
데코앤이,
드림티엔터테인먼트,
디피앤케이,
맥스로텍,
모다,
미래SCI,
미래자원엠엘,
미래테크놀로지,
미애부,
바이오빌,
본느,
비앤에스미디어,
비엔씨컴퍼니,
비엔에프코퍼레이션,
세기리텍,
세화피앤씨,
셀트리온,
스틸플라워,
스페이스솔루션,
스포츠서울,
시냅스엠,
신양오라컴디스플레이,
심팩메탈,
썬코어,
썬테크놀로지스,
씨그널엔터테인먼트그룹,
씨앤에스자산관리,
씨엠에스에듀,
씨티네트웍스,
아이엘사이언스,
아이엠텍,
알로이스,
에스마크,
에스에스컴텍,
에스에이티,
에스에프씨,
에스와이이노베이션,
에스와이제이,
에스제이케이,
에이치디,
에이팸,
에임하이글로벌,
에프티이앤이,
엔에스브이,
엔케이맥스,
엘피케이로보틱스,
엠씨넥스,
엠앤씨생명과학,
영현무역,
우성아이비,
우전,
원바이오젠,
원익테라세미콘,
위너지스,
위노바,
유디피,
유쎌,
이매진아시아,
이십일스토어,
이엠네트웍스,
인산가,
인터파크,
인프라웨어테크놀러지,
자비스,
전우정밀,
제낙스,
제이에스피브이,
제이콘텐트리,
제이테크놀로지,
주노콜렉션,
지디,
지성이씨에스,
지에스홈쇼핑,
지유온,
카이노스메드,
카카오,
카카오엠,
캐로스,
케미메디,
케이엔씨글로벌,
코너스톤네트웍스,
쿠첸,
태경피엔에스,
트레이스,
티씨엠생명과학,
티에스트릴리온,
파인넥스,
파티게임즈,
팍스넷,
포스코케미칼,
포인트엔지니어링,
폭스소프트,
퓨전,
프리젠,
피앤텔,
피엠디아카데미,
하림홀딩스,
한국비엔씨,
한국아트라스비엑스,
한진피앤씨,
한컴지엠디,
한프,
행남사,
화신테크,
화진,
휴럼,
나무기술,
넥슨지티,
다이노나,
디에스티,
럭슬,
레이젠,
세신버팔로,
세종머티리얼즈,
소프트캠프,
씨아이에스,
씨제이이앤엠,
아스팩오일,
아이이,
에스앤씨엔진그룹리미티드,
에스엠로보틱스,
에스지에이시스템즈,
에스지에이클라우드서비스,
에스케이 머티리얼즈,
에스케이씨솔믹스,
에스케이커뮤니케이션즈,
에이아이비트,
엠에프엠코리아,
완리인터내셔널홀딩스,
웨이포트유한공사,
이에스산업,
이엘케이,
자안바이오,
줌인터넷,
지스마트글로벌,
차이나그레이트스타인터내셔널리미티드,
차이나하오란리사이클링유한공사,
케어룸의료산업,
케이맥,
케이엠제약,
패션플랫폼,
피아이첨단소재,
한솔신텍,
한주금속,
현대정보기술,
현진소재,
