회사명,거래소코드,회계년도,[제조]영업활동으로 인한 현금흐름(*),[제조]투자활동으로 인한 현금흐름(*),[제조]재무활동으로 인한 현금흐름(*),패턴
미래나노텍(주),95500,2021년 12월,41131730,-1611304,23981021,성장기업
미래오토스,176440,2021년 12월,-4936738,19044587,-11579978,정리기업
미래오토스,176440,2019년 12월,6087854,-34964055,27380611,성장기업
미래오토스,176440,2017년 12월,-11607742,5385905,3375049,부실기업
미래오토스,176440,2018년 12월,10138370,-11957609,1738600,성장기업
미래오토스,176440,2020년 12월,5630902,13535348,-21379162,성숙기업
미스터블루(주),207760,2018년 12월,5179103,-4938360,2025973,성장기업
미스터블루(주),207760,2020년 12월,5557509,-1055224,-5144196,우량기업
미스터블루(주),207760,2021년 12월,4947318,-137616,3721268,성장기업
미스터블루(주),207760,2019년 12월,4906214,-1040951,-1521889,우량기업
미스터블루(주),207760,2017년 12월,2824928,-1213761,-600574,우량기업
미투젠(유),950190,2021년 12월,23962165,-43591926,-21678985,우량기업
미투젠(유),950190,2020년 12월,27555037,-7836195,21601357,성장기업
바디텍메드(주),206640,2018년 12월,8863916,-4848161,-3422865,우량기업
바디텍메드(주),206640,2019년 12월,17094734,-686089,-18386345,우량기업
바디텍메드(주),206640,2021년 12월,43691796,-15550243,-18007658,우량기업
바디텍메드(주),206640,2017년 12월,5221097,-17648423,24080231,성장기업
바디텍메드(주),206640,2020년 12월,38032004,-34477762,-3838377,우량기업
바이오플러스(주),99430,2021년 12월,13419053,-25572158,34040825,성장기업
바이온(주),32980,2021년 12월,-7162367,-5080329,10152747,스타트업
바이온(주),32980,2017년 12월,-657771,-13039704,15999372,스타트업
바이온(주),32980,2018년 12월,-8078363,-16808315,25291110,스타트업
바이온(주),32980,2019년 12월,-1115994,-2031582,1511868,스타트업
바이온(주),32980,2020년 12월,4579460,5729401,907961,전환기업
바이옵트로(주),222160,1905년 7월,,,,판단불가
바이젠셀(주),308080,2021년 12월,-7954612,-68728880,103555457,스타트업
베뉴지(주),19010,2021년 12월,921417,20164528,-24328332,성숙기업
베뉴지(주),19010,2018년 12월,5736565,-19144647,4322568,성장기업
베뉴지(주),19010,2019년 12월,7424623,-7618602,6278994,성장기업
베뉴지(주),19010,2020년 12월,-2194688,8659166,1663004,부실기업
베뉴지(주),19010,2017년 12월,9089282,-14394929,723417,성장기업
보성파워텍(주),6910,2017년 12월,-14314479,-12726497,1387500,스타트업
보성파워텍(주),6910,2018년 12월,-11375463,4737048,14273500,부실기업
보성파워텍(주),6910,2020년 12월,16670327,-722907,-1138928,우량기업
보성파워텍(주),6910,2021년 12월,-3675331,-3539263,-7635719,쇠퇴기업
보성파워텍(주),6910,2019년 12월,7236806,966303,-837500,성숙기업
브레인즈컴퍼니(주),99390,2021년 12월,5613465,-15099475,11270312,성장기업
브릿지바이오테라퓨틱스(주),288330,2019년 12월,-7596464,-3711823,67270051,스타트업
브릿지바이오테라퓨틱스(주),288330,2021년 12월,-17813110,7731200,-5120033,정리기업
브릿지바이오테라퓨틱스(주),288330,2020년 12월,-12354646,-31839912,1859259,스타트업
비나텍(주),126340,2020년 12월,2341640,-33673057,31378419,성장기업
비나텍(주),126340,2021년 12월,566449,-4461034,6716226,성장기업
비디아이(주),148140,2017년 12월,-11173855,-4442457,19167160,스타트업
비디아이(주),148140,2019년 12월,7124252,-5903058,9038337,성장기업
비디아이(주),148140,2018년 12월,-9004701,-6380946,14346146,스타트업
비디아이(주),148140,2020년 12월,-43928259,-12388296,49542916,스타트업
비디아이(주),148140,2021년 12월,-33439707,-565381,27454320,스타트업
